 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Das Exekutivkomitee des Weltfußballverbandes ( FIFA ) hat entschieden . Die Fußballweltmeisterschaft 2018 wird nach Russland vergeben , Gastgeber des FIFA-Turniers 2011 ist der Golfstaat Katar . Im Vorfeld des Ausscheidungsverfahrens für die Vergabe der nächsten beiden Fußballweltmeisterschaften war viel von Korruption und Schiebung die Rede gewesen . Der russische Ministerpräsident Wladimir Putin war erst gar nicht angereist
1-1	Das	O	_	_	
1-2	Exekutivkomitee	B-NC	_	_	
1-3	des	O	_	_	
1-4	Weltfußballverbandes	B-NC	_	_	
1-5	(	O	_	_	
1-6	FIFA	B-NC	_	_	
1-7	)	O	_	_	
1-8	hat	O	_	_	
1-9	entschieden	O	_	_	
1-10	.	O	_	_	
1-11	Die	O	_	_	
1-12	Fußballweltmeisterschaft	B-NC	_	_	
1-13	2018	O	_	_	
1-14	wird	O	_	_	
1-15	nach	O	_	_	
1-16	Russland	B-NC	_	_	
1-17	vergeben	O	_	_	
1-18	,	O	_	_	
1-19	Gastgeber	B-NC	_	_	
1-20	des	O	_	_	
1-21	FIFA-Turniers	B-NC	_	_	
1-22	2011	O	_	_	
1-23	ist	O	_	_	
1-24	der	O	_	_	
1-25	Golfstaat	B-NC	_	_	
1-26	Katar	B-NC	_	_	
1-27	.	O	_	_	
1-28	Im	O	_	_	
1-29	Vorfeld	B-NC	_	_	
1-30	des	O	_	_	
1-31	Ausscheidungsverfahrens	B-NC	_	_	
1-32	für	O	_	_	
1-33	die	O	_	_	
1-34	Vergabe	B-NC	_	_	
1-35	der	O	_	_	
1-36	nächsten	O	_	_	
1-37	beiden	O	_	_	
1-38	Fußballweltmeisterschaften	B-NC	_	_	
1-39	war	O	_	_	
1-40	viel	O	_	_	
1-41	von	O	_	_	
1-42	Korruption	B-NC	_	_	
1-43	und	O	_	_	
1-44	Schiebung	B-NC	Co-Hyponym	1-42	
1-45	die	O	_	_	
1-46	Rede	B-NC	_	_	
1-47	gewesen	O	_	_	
