 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=NASA scientists say that the Arctic Sea 's icecap is melting and that the icecap is melting fast 
1-1	NASA	B-NC	_	_	
1-2	scientists	I-NC	_	_	
1-3	say	O	_	_	
1-4	that	O	_	_	
1-5	the	O	_	_	
1-6	Arctic	B-NC	_	_	
1-7	Sea	I-NC	_	_	
1-8	's	O	_	_	
1-9	icecap	B-NC	_	_	
1-10	is	O	_	_	
1-11	melting	O	_	_	
1-12	and	O	_	_	
1-13	that	O	_	_	
1-14	the	O	_	_	
1-15	icecap	B-NC	_	_	
1-16	is	O	_	_	
1-17	melting	O	_	_	
1-18	fast	O	_	_	

#id=2
#text=According to images captured by NASA 's QuikSCAT satellite , the Arctic icecap has lost at least 14 % of its ' perennial ' ice between 2004 and 2005 . Data shows that at least 280,000 square miles of ice , at least the size of Texas has been lost . The eastern Arctic has lost at least 50 % of its ice , but scientists say that ice was shifted by wind and other weather factors from the east to the west Arctic , causing the western areas of ice to actually grow 
2-1	According	O	_	_	
2-2	to	O	_	_	
2-3	images	B-NC	Hypernym	2-31	
2-4	captured	O	_	_	
2-5	by	O	_	_	
2-6	NASA	B-NC	_	_	
2-7	's	O	_	_	
2-8	QuikSCAT	B-NC	_	_	
2-9	satellite	I-NC	_	_	
2-10	,	O	_	_	
2-11	the	O	_	_	
2-12	Arctic	B-NC	_	_	
2-13	icecap	I-NC|B-NC	_	_	
2-14	has	O	_	_	
2-15	lost	O	_	_	
2-16	at	O	_	_	
2-17	least	O	_	_	
2-18	14	O	_	_	
2-19	%	O	_	_	
2-20	of	O	_	_	
2-21	its	O	_	_	
2-22	'	O	_	_	
2-23	perennial	B-NC	_	_	
2-24	'	O	_	_	
2-25	ice	B-NC	Holonym	2-13	
2-26	between	O	_	_	
2-27	2004	O	_	_	
2-28	and	O	_	_	
2-29	2005	O	_	_	
2-30	.	O	_	_	
2-31	Data	B-NC	_	_	
2-32	shows	O	_	_	
2-33	that	O	_	_	
2-34	at	O	_	_	
2-35	least	O	_	_	
2-36	280,000	O	_	_	
2-37	square	O	_	_	
2-38	miles	B-NC	_	_	
2-39	of	O	_	_	
2-40	ice	B-NC	_	_	
2-41	,	O	_	_	
2-42	at	O	_	_	
2-43	least	O	_	_	
2-44	the	O	_	_	
2-45	size	B-NC	_	_	
2-46	of	O	_	_	
2-47	Texas	B-NC	_	_	
2-48	has	O	_	_	
2-49	been	O	_	_	
2-50	lost	O	_	_	
2-51	.	O	_	_	
2-52	The	O	_	_	
2-53	eastern	O	_	_	
2-54	Arctic	B-NC	_	_	
2-55	has	O	_	_	
2-56	lost	O	_	_	
2-57	at	O	_	_	
2-58	least	O	_	_	
2-59	50	O	_	_	
2-60	%	O	_	_	
2-61	of	O	_	_	
2-62	its	O	_	_	
2-63	ice	B-NC	_	_	
2-64	,	O	_	_	
2-65	but	O	_	_	
2-66	scientists	B-NC	_	_	
2-67	say	O	_	_	
2-68	that	O	_	_	
2-69	ice	B-NC	_	_	
2-70	was	O	_	_	
2-71	shifted	O	_	_	
2-72	by	O	_	_	
2-73	wind	B-NC	Hypernym	2-76	
2-74	and	O	_	_	
2-75	other	O	_	_	
2-76	weather	B-NC	_	_	
2-77	factors	I-NC	_	_	
2-78	from	O	_	_	
2-79	the	O	_	_	
2-80	east	O	_	_	
2-81	to	O	_	_	
2-82	the	O	_	_	
2-83	west	O	_	_	
2-84	Arctic	B-NC	_	_	
2-85	,	O	_	_	
2-86	causing	O	_	_	
2-87	the	O	_	_	
2-88	western	O	_	_	
2-89	areas	B-NC	_	_	
2-90	of	O	_	_	
2-91	ice	B-NC	_	_	
2-92	to	O	_	_	
2-93	actually	O	_	_	
2-94	grow	O	_	_	

#id=3
#text=Between October 2005 and April of 2006 ; however , the icecap lost an additional 70 % of frozen water 
3-1	Between	O	_	_	
3-2	October	B-NC	_	_	
3-3	2005	O	_	_	
3-4	and	O	_	_	
3-5	April	B-NC	_	_	
3-6	of	O	_	_	
3-7	2006	O	_	_	
3-8	;	O	_	_	
3-9	however	O	_	_	
3-10	,	O	_	_	
3-11	the	O	_	_	
3-12	icecap	B-NC	_	_	
3-13	lost	O	_	_	
3-14	an	O	_	_	
3-15	additional	O	_	_	
3-16	70	O	_	_	
3-17	%	O	_	_	
3-18	of	O	_	_	
3-19	frozen	O	_	_	
3-20	water	B-NC	Holonym	3-12	

#id=4
#text=Between 04 and 05 , the perennial ice , which is supposed to remain frozen year-round , was replaced by ' seasonal ' ice , which scientists say melts faster during the Summer months . This event has never before been witnessed . Perennial ice is normally 3 meters ( 10 feet ) thick or more and seasonal ice is only 0.3 meters ( 1 feet ) to 2 meters ( 7 feet ) thick 
4-1	Between	O	_	_	
4-2	04	O	_	_	
4-3	and	O	_	_	
4-4	05	O	_	_	
4-5	,	O	_	_	
4-6	the	O	_	_	
4-7	perennial	B-NC	_	_	
4-8	ice	I-NC|B-NC	_	_	
4-9	,	O	_	_	
4-10	which	O	_	_	
4-11	is	O	_	_	
4-12	supposed	O	_	_	
4-13	to	O	_	_	
4-14	remain	O	_	_	
4-15	frozen	O	_	_	
4-16	year-round	O	_	_	
4-17	,	O	_	_	
4-18	was	O	_	_	
4-19	replaced	O	_	_	
4-20	by	O	_	_	
4-21	'	O	_	_	
4-22	seasonal	B-NC	Co-Hyponym	4-7	
4-23	'	I-NC	_	_	
4-24	ice	I-NC|B-NC	_	_	
4-25	,	O	_	_	
4-26	which	O	_	_	
4-27	scientists	B-NC	_	_	
4-28	say	O	_	_	
4-29	melts	B-NC	_	_	
4-30	faster	O	_	_	
4-31	during	O	_	_	
4-32	the	O	_	_	
4-33	Summer	B-NC	_	_	
4-34	months	I-NC	_	_	
4-35	.	O	_	_	
4-36	This	O	_	_	
4-37	event	B-NC	_	_	
4-38	has	O	_	_	
4-39	never	O	_	_	
4-40	before	O	_	_	
4-41	been	O	_	_	
4-42	witnessed	O	_	_	
4-43	.	O	_	_	
4-44	Perennial	O	_	_	
4-45	ice	B-NC	_	_	
4-46	is	O	_	_	
4-47	normally	O	_	_	
4-48	3	O	_	_	
4-49	meters	B-NC	_	_	
4-50	(	O	_	_	
4-51	10	O	_	_	
4-52	feet	B-NC	_	_	
4-53	)	O	_	_	
4-54	thick	O	_	_	
4-55	or	O	_	_	
4-56	more	O	_	_	
4-57	and	O	_	_	
4-58	seasonal	O	_	_	
4-59	ice	B-NC	_	_	
4-60	is	O	_	_	
4-61	only	O	_	_	
4-62	0.3	O	_	_	
4-63	meters	B-NC	_	_	
4-64	(	O	_	_	
4-65	1	O	_	_	
4-66	feet	B-NC	_	_	
4-67	)	O	_	_	
4-68	to	O	_	_	
4-69	2	O	_	_	
4-70	meters	B-NC	_	_	
4-71	(	O	_	_	
4-72	7	O	_	_	
4-73	feet	B-NC	_	_	
4-74	)	O	_	_	
4-75	thick	O	_	_	

#id=5
#text=" If the seasonal ice in the east Arctic Ocean were to be removed by summer melt , a vast ice-free area would open up . Such an ice-free area would have profound impacts on the environment , as well as on marine transportation and commerce , " said Son Nghiem , the leader of research at the Jet Propulsion Laboratory in Pasadena , California 
5-1	"	O	_	_	
5-2	If	O	_	_	
5-3	the	O	_	_	
5-4	seasonal	O	_	_	
5-5	ice	B-NC	_	_	
5-6	in	O	_	_	
5-7	the	O	_	_	
5-8	east	O	_	_	
5-9	Arctic	B-NC	_	_	
5-10	Ocean	I-NC	_	_	
5-11	were	O	_	_	
5-12	to	O	_	_	
5-13	be	O	_	_	
5-14	removed	O	_	_	
5-15	by	O	_	_	
5-16	summer	B-NC	_	_	
5-17	melt	I-NC	_	_	
5-18	,	O	_	_	
5-19	a	O	_	_	
5-20	vast	O	_	_	
5-21	ice-free	O	_	_	
5-22	area	B-NC	_	_	
5-23	would	O	_	_	
5-24	open	O	_	_	
5-25	up	O	_	_	
5-26	.	O	_	_	
5-27	Such	O	_	_	
5-28	an	O	_	_	
5-29	ice-free	O	_	_	
5-30	area	B-NC	_	_	
5-31	would	O	_	_	
5-32	have	O	_	_	
5-33	profound	O	_	_	
5-34	impacts	B-NC	_	_	
5-35	on	O	_	_	
5-36	the	O	_	_	
5-37	environment	B-NC	_	_	
5-38	,	O	_	_	
5-39	as	O	_	_	
5-40	well	O	_	_	
5-41	as	O	_	_	
5-42	on	O	_	_	
5-43	marine	O	_	_	
5-44	transportation	B-NC	_	_	
5-45	and	O	_	_	
5-46	commerce	B-NC	_	_	
5-47	,	O	_	_	
5-48	"	O	_	_	
5-49	said	O	_	_	
5-50	Son	B-NC	_	_	
5-51	Nghiem	I-NC	_	_	
5-52	,	O	_	_	
5-53	the	O	_	_	
5-54	leader	B-NC	_	_	
5-55	of	O	_	_	
5-56	research	B-NC	_	_	
5-57	at	O	_	_	
5-58	the	O	_	_	
5-59	Jet	B-NC	_	_	
5-60	Propulsion	I-NC	_	_	
5-61	Laboratory	I-NC	_	_	
5-62	in	O	_	_	
5-63	Pasadena	B-NC	_	_	
5-64	,	O	_	_	
5-65	California	B-NC	_	_	

#id=6
#text=For several decades , the icecap has melted about 0.7 % a year during the Summer months and has increased at least " 18 times " faster than past decades , but Nghiem also said that the icecap has melted with " some variability " over the past years and was at times a " much smaller " of a loss of ice 
6-1	For	O	_	_	
6-2	several	O	_	_	
6-3	decades	B-NC	_	_	
6-4	,	O	_	_	
6-5	the	O	_	_	
6-6	icecap	B-NC	_	_	
6-7	has	O	_	_	
6-8	melted	O	_	_	
6-9	about	O	_	_	
6-10	0.7	O	_	_	
6-11	%	O	_	_	
6-12	a	O	_	_	
6-13	year	B-NC	_	_	
6-14	during	O	_	_	
6-15	the	O	_	_	
6-16	Summer	B-NC	_	_	
6-17	months	I-NC	_	_	
6-18	and	O	_	_	
6-19	has	O	_	_	
6-20	increased	O	_	_	
6-21	at	O	_	_	
6-22	least	O	_	_	
6-23	"	O	_	_	
6-24	18	O	_	_	
6-25	times	B-NC	_	_	
6-26	"	O	_	_	
6-27	faster	O	_	_	
6-28	than	O	_	_	
6-29	past	O	_	_	
6-30	decades	B-NC	_	_	
6-31	,	O	_	_	
6-32	but	O	_	_	
6-33	Nghiem	B-NC	_	_	
6-34	also	O	_	_	
6-35	said	O	_	_	
6-36	that	O	_	_	
6-37	the	O	_	_	
6-38	icecap	B-NC	_	_	
6-39	has	O	_	_	
6-40	melted	O	_	_	
6-41	with	O	_	_	
6-42	"	O	_	_	
6-43	some	O	_	_	
6-44	variability	B-NC	_	_	
6-45	"	O	_	_	
6-46	over	O	_	_	
6-47	the	O	_	_	
6-48	past	O	_	_	
6-49	years	B-NC	_	_	
6-50	and	O	_	_	
6-51	was	O	_	_	
6-52	at	O	_	_	
6-53	times	B-NC	_	_	
6-54	a	O	_	_	
6-55	"	O	_	_	
6-56	much	O	_	_	
6-57	smaller	O	_	_	
6-58	"	O	_	_	
6-59	of	O	_	_	
