 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Учёные NASA а журнале «Geophysical Research Letters» сообщают , что ледяной покров Арктики сокращается быстрее , чем до сих пор считалось
1-1	Учёные	O	_	_	
1-2	NASA	O	_	_	
1-3	а	O	_	_	
1-4	журнале	B-NC	_	_	
1-5	«Geophysical	O	_	_	
1-6	Research	O	_	_	
1-7	Letters»	O	_	_	
1-8	сообщают	O	_	_	
1-9	,	O	_	_	
1-10	что	O	_	_	
1-11	ледяной	O	_	_	
1-12	покров	B-NC	_	_	
1-13	Арктики	B-NC	_	_	
1-14	сокращается	O	_	_	
1-15	быстрее	O	_	_	
1-16	,	O	_	_	
1-17	чем	O	_	_	
1-18	до	O	_	_	
1-19	сих	O	_	_	
1-20	пор	B-NC	_	_	
1-21	считалось	O	_	_	

#id=2
#text=В результате анализа снимков сделанных спутником QuikSCAT , учёные сделали вывод , что только за период с 2004 по 2005 годы Арктика потеряла 14 % площади ледяного покрова , что соответствует площади такой страны как Пакистан или Турция . Ледяной покров Арктики — это слой льда толщиной от одного до трёх метров . Этот лёд отличается от сезонного льда незначительным содержанием соли и большим включением воздуха
2-1	В	O	_	_	
2-2	результате	B-NC	_	_	
2-3	анализа	B-NC	_	_	
2-4	снимков	B-NC	_	_	
2-5	сделанных	O	_	_	
2-6	спутником	B-NC	_	_	
2-7	QuikSCAT	O	_	_	
2-8	,	O	_	_	
2-9	учёные	O	_	_	
2-10	сделали	O	_	_	
2-11	вывод	B-NC	Synonym	2-2	
2-12	,	O	_	_	
2-13	что	O	_	_	
2-14	только	O	_	_	
2-15	за	O	_	_	
2-16	период	B-NC	_	_	
2-17	с	O	_	_	
2-18	2004	O	_	_	
2-19	по	O	_	_	
2-20	2005	O	_	_	
2-21	годы	B-NC	_	_	
2-22	Арктика	B-NC	_	_	
2-23	потеряла	O	_	_	
2-24	14	O	_	_	
2-25	%	O	_	_	
2-26	площади	B-NC	_	_	
2-27	ледяного	O	_	_	
2-28	покрова	B-NC	_	_	
2-29	,	O	_	_	
2-30	что	O	_	_	
2-31	соответствует	O	_	_	
2-32	площади	B-NC	_	_	
2-33	такой	O	_	_	
2-34	страны	B-NC	_	_	
2-35	как	O	_	_	
2-36	Пакистан	B-NC	_	_	
2-37	или	O	_	_	
2-38	Турция	B-NC	_	_	
2-39	.	O	_	_	
2-40	Ледяной	O	_	_	
2-41	покров	B-NC	Hypernym	2-45	
2-42	Арктики	B-NC	_	_	
2-43	—	O	_	_	
2-44	это	O	_	_	
2-45	слой	B-NC	_	_	
2-46	льда	B-NC	_	_	
2-47	толщиной	B-NC	_	_	
2-48	от	O	_	_	
2-49	одного	O	_	_	
2-50	до	O	_	_	
2-51	трёх	O	_	_	
2-52	метров	B-NC	_	_	
2-53	.	O	_	_	
2-54	Этот	O	_	_	
2-55	лёд	B-NC	_	_	
2-56	отличается	O	_	_	
2-57	от	O	_	_	
2-58	сезонного	O	_	_	
2-59	льда	B-NC	_	_	
2-60	незначительным	O	_	_	
2-61	содержанием	B-NC	_	_	
2-62	соли	B-NC	Holonym	2-59	
2-63	и	O	_	_	
2-64	большим	O	_	_	
2-65	включением	B-NC	_	_	
2-66	воздуха	B-NC	Holonym	2-59	

#id=3
#text=Сокращение ледяного покрова большей частью происходит в восточных областях Арктики ( арктические регионы Европы и Азии )
3-1	Сокращение	B-NC	_	_	
3-2	ледяного	O	_	_	
3-3	покрова	B-NC	_	_	
3-4	большей	O	_	_	
3-5	частью	B-NC	_	_	
3-6	происходит	O	_	_	
3-7	в	O	_	_	
3-8	восточных	O	_	_	
3-9	областях	B-NC	_	_	
3-10	Арктики	B-NC	_	_	
3-11	(	O	_	_	
3-12	арктические	O	_	_	
3-13	регионы	B-NC	Co-Hyponym	3-9	
3-14	Европы	B-NC	_	_	
3-15	и	O	_	_	
3-16	Азии	B-NC	_	_	
3-17	)	O	_	_	

#id=4
#text=До сих пор считалось , что ледяной покров сокращается на 6,4 — 7,8 % в десятилетие ( 0,7 % в год )
4-1	До	O	_	_	
4-2	сих	O	_	_	
4-3	пор	B-NC	_	_	
4-4	считалось	O	_	_	
4-5	,	O	_	_	
4-6	что	O	_	_	
4-7	ледяной	O	_	_	
4-8	покров	B-NC	_	_	
4-9	сокращается	O	_	_	
4-10	на	O	_	_	
4-11	6,4	O	_	_	
4-12	—	O	_	_	
4-13	7,8	O	_	_	
4-14	%	O	_	_	
4-15	в	O	_	_	
4-16	десятилетие	B-NC	_	_	
4-17	(	O	_	_	
4-18	0,7	O	_	_	
4-19	%	O	_	_	
4-20	в	O	_	_	
4-21	год	B-NC	_	_	
4-22	)	O	_	_	

#id=5
#text=Сильное сокращение ледяного покрова связывают с необычным распространением ветров в 2005 году и с потеплением климата . Арктика прогревается , примерно , в два раза быстрее , чем другие районы планеты
5-1	Сильное	O	_	_	
5-2	сокращение	B-NC	_	_	
5-3	ледяного	O	_	_	
5-4	покрова	B-NC	_	_	
5-5	связывают	O	_	_	
5-6	с	O	_	_	
5-7	необычным	O	_	_	
5-8	распространением	B-NC	Co-Hyponym	5-2	
5-9	ветров	B-NC	_	_	
5-10	в	O	_	_	
5-11	2005	O	_	_	
5-12	году	B-NC	_	_	
5-13	и	O	_	_	
5-14	с	O	_	_	
5-15	потеплением	B-NC	Co-Hyponym	5-2	
5-16	климата	B-NC	_	_	
5-17	.	O	_	_	
5-18	Арктика	B-NC	_	_	
5-19	прогревается	O	_	_	
5-20	,	O	_	_	
5-21	примерно	O	_	_	
5-22	,	O	_	_	
5-23	в	O	_	_	
5-24	два	O	_	_	
5-25	раза	B-NC	_	_	
5-26	быстрее	O	_	_	
5-27	,	O	_	_	
5-28	чем	O	_	_	
5-29	другие	O	_	_	
5-30	районы	B-NC	_	_	
5-31	планеты	B-NC	_	_	

#id=6
#text=Пока не ясно , произошло ли это резкое сокращение ледяного покрова только однажды , или это начало резкого ускорения процесса таянья льдов . В последнем случае это будет означать дальнейшее глобальное потепление , так как снежный покров отражает солнечный свет . С уменьшением ледяного покрова , всё больше солнечной энергии будет поглощаться Землёй , что способствует потеплению
6-1	Пока	O	_	_	
6-2	не	O	_	_	
6-3	ясно	O	_	_	
6-4	,	O	_	_	
6-5	произошло	O	_	_	
6-6	ли	O	_	_	
6-7	это	O	_	_	
6-8	резкое	O	_	_	
6-9	сокращение	B-NC	Hypernym	6-20	
6-10	ледяного	O	_	_	
6-11	покрова	B-NC	_	_	
6-12	только	O	_	_	
6-13	однажды	O	_	_	
6-14	,	O	_	_	
6-15	или	O	_	_	
6-16	это	O	_	_	
6-17	начало	B-NC	_	_	
6-18	резкого	O	_	_	
6-19	ускорения	B-NC	_	_	
6-20	процесса	B-NC	_	_	
6-21	таянья	B-NC	Hypernym	6-20	
6-22	льдов	B-NC	_	_	
6-23	.	O	_	_	
6-24	В	O	_	_	
6-25	последнем	O	_	_	
6-26	случае	B-NC	_	_	
6-27	это	O	_	_	
6-28	будет	O	_	_	
6-29	означать	O	_	_	
6-30	дальнейшее	O	_	_	
6-31	глобальное	B-NC	Hypernym	6-57	
6-32	потепление	I-NC|B-NC	_	_	
6-33	,	O	_	_	
6-34	так	O	_	_	
6-35	как	O	_	_	
6-36	снежный	O	_	_	
6-37	покров	B-NC	_	_	
6-38	отражает	O	_	_	
6-39	солнечный	O	_	_	
6-40	свет	B-NC	_	_	
6-41	.	O	_	_	
6-42	С	O	_	_	
6-43	уменьшением	B-NC	Hypernym	6-20	
6-44	ледяного	O	_	_	
6-45	покрова	B-NC	_	_	
6-46	,	O	_	_	
6-47	всё	B-NC	_	_	
6-48	больше	O	_	_	
6-49	солнечной	O	_	_	
6-50	энергии	B-NC	_	_	
6-51	будет	O	_	_	
6-52	поглощаться	O	_	_	
6-53	Землёй	B-NC	_	_	
6-54	,	O	_	_	
6-55	что	O	_	_	
6-56	способствует	O	_	_	
6-57	потеплению	B-NC	Hypernym	6-20	

