 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=A catsuit is a close - fitting one - piece garment that covers the torso and the legs , and frequently the arms . [ 1 ] They are usually made from stretchable material , such as lycra , chiffon , spandex ( after 1959 ) , leather , latex , PVC , or velour , and frequently close using a zipper at the front or back
1-1	A	O	_	_	
1-2	catsuit	B-NC	Hypernym	1-8	
1-3	is	O	_	_	
1-4	a	O	_	_	
1-5	close	B-NC	_	_	
1-6	-	O	_	_	
1-7	fitting	B-NC	_	_	
1-8	one	B-NC	_	_	
1-9	-	I-NC	_	_	
1-10	piece	I-NC|B-NC	_	_	
1-11	garment	I-NC|B-NC	Hypernym	1-34	
1-12	that	O	_	_	
1-13	covers	O	_	_	
1-14	the	O	_	_	
1-15	torso	B-NC	_	_	
1-16	and	O	_	_	
1-17	the	O	_	_	
1-18	legs	B-NC	Co-Hyponym	1-15	
1-19	,	O	_	_	
1-20	and	O	_	_	
1-21	frequently	O	_	_	
1-22	the	O	_	_	
1-23	arms	B-NC	Co-Hyponym	1-15	
1-24	.	O	_	_	
1-25	[	O	_	_	
1-26	1	O	_	_	
1-27	]	O	_	_	
1-28	They	O	_	_	
1-29	are	O	_	_	
1-30	usually	O	_	_	
1-31	made	O	_	_	
1-32	from	O	_	_	
1-33	stretchable	O	_	_	
1-34	material	B-NC	_	_	
1-35	,	O	_	_	
1-36	such	O	_	_	
1-37	as	O	_	_	
1-38	lycra	B-NC	Hypernym	1-34	
1-39	,	O	_	_	
1-40	chiffon	B-NC	Hypernym	1-34	
1-41	,	O	_	_	
1-42	spandex	B-NC	Hypernym	1-34	
1-43	(	O	_	_	
1-44	after	O	_	_	
1-45	1959	O	_	_	
1-46	)	O	_	_	
1-47	,	O	_	_	
1-48	leather	B-NC	Hypernym	1-34	
1-49	,	O	_	_	
1-50	latex	B-NC	Hypernym	1-34	
1-51	,	O	_	_	
1-52	PVC	B-NC	Hypernym	1-34	
1-53	,	O	_	_	
1-54	or	O	_	_	
1-55	velour	B-NC	Hypernym	1-34	
1-56	,	O	_	_	
1-57	and	O	_	_	
1-58	frequently	O	_	_	
1-59	close	O	_	_	
1-60	using	O	_	_	
1-61	a	O	_	_	
1-62	zipper	B-NC	Holonym	1-2	
1-63	at	O	_	_	
1-64	the	O	_	_	
1-65	front	B-NC	_	_	
1-66	or	O	_	_	
1-67	back	O	_	_	

#id=2
#text=Catsuits , which date from at least the 1940s , can be worn by both men and women , and , despite the name , do not generally have feline characteristics
2-1	Catsuits	B-NC	_	_	
2-2	,	O	_	_	
2-3	which	O	_	_	
2-4	date	O	_	_	
2-5	from	O	_	_	
2-6	at	O	_	_	
2-7	least	O	_	_	
2-8	the	O	_	_	
2-9	1940s	B-NC	_	_	
2-10	,	O	_	_	
2-11	can	O	_	_	
2-12	be	O	_	_	
2-13	worn	O	_	_	
2-14	by	O	_	_	
2-15	both	O	_	_	
2-16	men	B-NC	_	_	
2-17	and	O	_	_	
2-18	women	B-NC	Co-Hyponym	2-16	
2-19	,	O	_	_	
2-20	and	O	_	_	
2-21	,	O	_	_	
2-22	despite	O	_	_	
2-23	the	O	_	_	
2-24	name	B-NC	_	_	
2-25	,	O	_	_	
2-26	do	O	_	_	
2-27	not	O	_	_	
2-28	generally	O	_	_	
2-29	have	O	_	_	
2-30	feline	O	_	_	
2-31	characteristics	B-NC	_	_	

