 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=2 декабря в Цюрихе представители Международной футбольной ассоциации объявили о своем решении предоставить России право стать хозяйкой Чемпионата мира по футболу в 2018 году . Это объявление сделал президент ФИФА Йозеф Блаттер . Хозяином Чемпионата мира по футболу в 2022 году станет Катар
1-1	2	O	_	_	
1-2	декабря	B-NC	_	_	
1-3	в	O	_	_	
1-4	Цюрихе	B-NC	_	_	
1-5	представители	B-NC	Holonym	1-7	
1-6	Международной	O	_	_	
1-7	футбольной	B-NC	_	_	
1-8	ассоциации	I-NC|B-NC	_	_	
1-9	объявили	O	_	_	
1-10	о	O	_	_	
1-11	своем	O	_	_	
1-12	решении	B-NC	_	_	
1-13	предоставить	O	_	_	
1-14	России	B-NC	_	_	
1-15	право	O	_	_	
1-16	стать	O	_	_	
1-17	хозяйкой	B-NC	_	_	
1-18	Чемпионата	B-NC	_	_	
1-19	мира	B-NC	_	_	
1-20	по	O	_	_	
1-21	футболу	B-NC	_	_	
1-22	в	O	_	_	
1-23	2018	O	_	_	
1-24	году	B-NC	_	_	
1-25	.	O	_	_	
1-26	Это	O	_	_	
1-27	объявление	B-NC	_	_	
1-28	сделал	O	_	_	
1-29	президент	B-NC	Co-Hyponym|Co-Hyponym|Holonym	1-5|1-5|1-7	
1-30	ФИФА	B-NC	_	_	
1-31	Йозеф	B-NC	_	_	
1-32	Блаттер	B-NC	_	_	
1-33	.	O	_	_	
1-34	Хозяином	B-NC	_	_	
1-35	Чемпионата	B-NC	_	_	
1-36	мира	B-NC	_	_	
1-37	по	O	_	_	
1-38	футболу	B-NC	_	_	
1-39	в	O	_	_	
1-40	2022	O	_	_	
1-41	году	B-NC	_	_	
1-42	станет	O	_	_	
1-43	Катар	B-NC	_	_	

#id=2
#text=В первый раз восточноевропейская и ближневосточная страны проведут у себя этот международный футбольный турнир . В этом году Чемпионат проходил в Южной Африке , а в 2014 году соревнование состоится в Бразилии
2-1	В	O	_	_	
2-2	первый	O	_	_	
2-3	раз	B-NC	_	_	
2-4	восточноевропейская	O	_	_	
2-5	и	O	_	_	
2-6	ближневосточная	O	_	_	
2-7	страны	B-NC	_	_	
2-8	проведут	O	_	_	
2-9	у	O	_	_	
2-10	себя	O	_	_	
2-11	этот	O	_	_	
2-12	международный	O	_	_	
2-13	футбольный	O	_	_	
2-14	турнир	B-NC	Hypernym	2-19	
2-15	.	O	_	_	
2-16	В	O	_	_	
2-17	этом	O	_	_	
2-18	году	B-NC	_	_	
2-19	Чемпионат	B-NC	Hypernym	2-29	
2-20	проходил	O	_	_	
2-21	в	O	_	_	
2-22	Южной	O	_	_	
2-23	Африке	B-NC	_	_	
2-24	,	O	_	_	
2-25	а	O	_	_	
2-26	в	O	_	_	
2-27	2014	O	_	_	
2-28	году	B-NC	_	_	
2-29	соревнование	B-NC	_	_	
2-30	состоится	O	_	_	
2-31	в	O	_	_	
2-32	Бразилии	B-NC	_	_	

#id=3
#text=На почетное звание главного организатора Чемпионата мира футболу в 2018 году , помимо России , претендовали Великобритания , Испания , Португалия , Бельгия и Нидерланды . В свою очередь , принять у себя Чемпионат в 2022 году надеялись , помимо Катара , Япония , Южная Корея , Австралия и США
3-1	На	O	_	_	
3-2	почетное	O	_	_	
3-3	звание	B-NC	_	_	
3-4	главного	O	_	_	
3-5	организатора	B-NC	_	_	
3-6	Чемпионата	B-NC	_	_	
3-7	мира	B-NC	_	_	
3-8	футболу	B-NC	_	_	
3-9	в	O	_	_	
3-10	2018	O	_	_	
3-11	году	B-NC	_	_	
3-12	,	O	_	_	
3-13	помимо	O	_	_	
3-14	России	B-NC	_	_	
3-15	,	O	_	_	
3-16	претендовали	O	_	_	
3-17	Великобритания	B-NC	_	_	
3-18	,	O	_	_	
3-19	Испания	B-NC	_	_	
3-20	,	O	_	_	
3-21	Португалия	B-NC	_	_	
3-22	,	O	_	_	
3-23	Бельгия	B-NC	_	_	
3-24	и	O	_	_	
3-25	Нидерланды	B-NC	_	_	
3-26	.	O	_	_	
3-27	В	O	_	_	
3-28	свою	O	_	_	
3-29	очередь	B-NC	_	_	
3-30	,	O	_	_	
3-31	принять	O	_	_	
3-32	у	O	_	_	
3-33	себя	O	_	_	
3-34	Чемпионат	B-NC	_	_	
3-35	в	O	_	_	
3-36	2022	O	_	_	
3-37	году	B-NC	_	_	
3-38	надеялись	O	_	_	
3-39	,	O	_	_	
3-40	помимо	O	_	_	
3-41	Катара	B-NC	_	_	
3-42	,	O	_	_	
3-43	Япония	B-NC	_	_	
3-44	,	O	_	_	
3-45	Южная	O	_	_	
3-46	Корея	B-NC	_	_	
3-47	,	O	_	_	
3-48	Австралия	B-NC	_	_	
3-49	и	O	_	_	
3-50	США	B-NC	_	_	

