 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Международный Олимпийский Комитет объявил , что хозяином 23 - й зимней Олимпиады станет южнокорейский город Пхенчхан . Об этом Международный Олимпийский Комитет объявил во вторник на заседании в Дурбане ( ЮАР ) . С Пхенчханом конкурировали немецкий Мюнхен и французский Анси
1-1	Международный	O	_	_	
1-2	Олимпийский	O	_	_	
1-3	Комитет	B-NC	_	_	
1-4	объявил	O	_	_	
1-5	,	O	_	_	
1-6	что	O	_	_	
1-7	хозяином	B-NC	_	_	
1-8	23	O	_	_	
1-9	-	O	_	_	
1-10	й	O	_	_	
1-11	зимней	O	_	_	
1-12	Олимпиады	B-NC	_	_	
1-13	станет	O	_	_	
1-14	южнокорейский	O	_	_	
1-15	город	B-NC	_	_	
1-16	Пхенчхан	B-NC	_	_	
1-17	.	O	_	_	
1-18	Об	O	_	_	
1-19	этом	O	_	_	
1-20	Международный	O	_	_	
1-21	Олимпийский	O	_	_	
1-22	Комитет	B-NC	_	_	
1-23	объявил	O	_	_	
1-24	во	O	_	_	
1-25	вторник	B-NC	_	_	
1-26	на	O	_	_	
1-27	заседании	B-NC	_	_	
1-28	в	O	_	_	
1-29	Дурбане	B-NC	_	_	
1-30	(	O	_	_	
1-31	ЮАР	B-NC	_	_	
1-32	)	O	_	_	
1-33	.	O	_	_	
1-34	С	O	_	_	
1-35	Пхенчханом	B-NC	_	_	
1-36	конкурировали	O	_	_	
1-37	немецкий	O	_	_	
1-38	Мюнхен	B-NC	_	_	
1-39	и	O	_	_	
1-40	французский	O	_	_	
1-41	Анси	B-NC	_	_	

#id=2
#text=В Дурбан прибыли ведущие политические и спортивные фигуры соперничавших стран . От Южной Кореи присутствовал президент страны Ли Мен Бак и чемпионка мира по фигурному катанию Ким Ен А . Мюнхенскую делегацию возглавлял президент ФРГ Кристиан Вульф , а Анси - французский премьер Франсуа Фийон
2-1	В	O	_	_	
2-2	Дурбан	B-NC	_	_	
2-3	прибыли	O	_	_	
2-4	ведущие	O	_	_	
2-5	политические	O	_	_	
2-6	и	O	_	_	
2-7	спортивные	O	_	_	
2-8	фигуры	B-NC	_	_	
2-9	соперничавших	O	_	_	
2-10	стран	B-NC	_	_	
2-11	.	O	_	_	
2-12	От	O	_	_	
2-13	Южной	O	_	_	
2-14	Кореи	B-NC	_	_	
2-15	присутствовал	O	_	_	
2-16	президент	B-NC	Hypernym|Holonym	2-8|2-17	
2-17	страны	B-NC	_	_	
2-18	Ли	B-NC	_	_	
2-19	Мен	B-NC	_	_	
2-20	Бак	B-NC	_	_	
2-21	и	O	_	_	
2-22	чемпионка	B-NC	Hypernym	2-8	
2-23	мира	B-NC	_	_	
2-24	по	O	_	_	
2-25	фигурному	O	_	_	
2-26	катанию	B-NC	_	_	
2-27	Ким	B-NC	_	_	
2-28	Ен	B-NC	_	_	
2-29	А	O	_	_	
2-30	.	O	_	_	
2-31	Мюнхенскую	O	_	_	
2-32	делегацию	B-NC	_	_	
2-33	возглавлял	O	_	_	
2-34	президент	B-NC	_	_	
2-35	ФРГ	B-NC	_	_	
2-36	Кристиан	B-NC	_	_	
2-37	Вульф	B-NC	_	_	
2-38	,	O	_	_	
2-39	а	O	_	_	
2-40	Анси	B-NC	_	_	
2-41	-	O	_	_	
2-42	французский	O	_	_	
2-43	премьер	B-NC	Hypernym|Holonym|Co-Hyponym	2-8|2-17|2-34	
2-44	Франсуа	B-NC	_	_	
2-45	Фийон	B-NC	_	_	

#id=3
#text=Для Южной Кореи , в прошлом уступившей право на проведение зимних игр сначала канадскому Ванкуверу , а затем российскому Сочи , победа в олимпийской гонке имела особое значение . Ли Мен Бак накануне голосования призвал членов делегации приложить все усилия для достижения «заслуженного результата»
3-1	Для	O	_	_	
3-2	Южной	O	_	_	
3-3	Кореи	B-NC	_	_	
3-4	,	O	_	_	
3-5	в	O	_	_	
3-6	прошлом	B-NC	_	_	
3-7	уступившей	B-NC	_	_	
3-8	право	B-NC	_	_	
3-9	на	O	_	_	
3-10	проведение	B-NC	_	_	
3-11	зимних	O	_	_	
3-12	игр	B-NC	_	_	
3-13	сначала	O	_	_	
3-14	канадскому	O	_	_	
3-15	Ванкуверу	B-NC	_	_	
3-16	,	O	_	_	
3-17	а	O	_	_	
3-18	затем	O	_	_	
3-19	российскому	O	_	_	
3-20	Сочи	B-NC	_	_	
