 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Langsam löste sie vor dem Kaminspiegel ihre Haare auf , dann blickte sie wehmütig auf den Ring , den sie am Ringfinger der linken Hand trug , ein silbernes Ringlein , mit dem ganz verwischten und unkenntlichen Kopf Marats geschmückt . Sie blickte ihn an , bis die Tränen ihre Blicke umflorten , zog ihn sanft ab und warf ihn in die Flammen
1-1	Langsam	O	_	_	
1-2	löste	O	_	_	
1-3	sie	O	_	_	
1-4	vor	O	_	_	
1-5	dem	O	_	_	
1-6	Kaminspiegel	B-NC	_	_	
1-7	ihre	O	_	_	
1-8	Haare	B-NC	Holonym	1-38	
1-9	auf	O	_	_	
1-10	,	O	_	_	
1-11	dann	O	_	_	
1-12	blickte	O	_	_	
1-13	sie	O	_	_	
1-14	wehmütig	O	_	_	
1-15	auf	O	_	_	
1-16	den	O	_	_	
1-17	Ring	B-NC	_	_	
1-18	,	O	_	_	
1-19	den	O	_	_	
1-20	sie	O	_	_	
1-21	am	O	_	_	
1-22	Ringfinger	B-NC	Holonym	1-25	
1-23	der	O	_	_	
1-24	linken	O	_	_	
1-25	Hand	B-NC	_	_	
1-26	trug	O	_	_	
1-27	,	O	_	_	
1-28	ein	O	_	_	
1-29	silbernes	O	_	_	
1-30	Ringlein	B-NC	Synonym	1-17	
1-31	,	O	_	_	
1-32	mit	O	_	_	
1-33	dem	O	_	_	
1-34	ganz	O	_	_	
1-35	verwischten	O	_	_	
1-36	und	O	_	_	
1-37	unkenntlichen	O	_	_	
1-38	Kopf	B-NC	_	_	
1-39	Marats	B-NC	_	_	
1-40	geschmückt	O	_	_	
1-41	.	O	_	_	
1-42	Sie	O	_	_	
1-43	blickte	O	_	_	
1-44	ihn	O	_	_	
1-45	an	O	_	_	
1-46	,	O	_	_	
1-47	bis	O	_	_	
1-48	die	O	_	_	
1-49	Tränen	B-NC	_	_	
1-50	ihre	O	_	_	
1-51	Blicke	B-NC	_	_	
1-52	umflorten	O	_	_	
1-53	,	O	_	_	
1-54	zog	O	_	_	
1-55	ihn	O	_	_	
1-56	sanft	O	_	_	
1-57	ab	O	_	_	
1-58	und	O	_	_	
1-59	warf	O	_	_	
1-60	ihn	O	_	_	
1-61	in	O	_	_	
1-62	die	O	_	_	
1-63	Flammen	B-NC	_	_	

#id=2
#text=Dann warf sie sich , strahlend von Tränen und Lächeln , schön vor Zärtlichkeit und Liebe , in Philipps Arme
2-1	Dann	O	_	_	
2-2	warf	O	_	_	
2-3	sie	O	_	_	
2-4	sich	O	_	_	
2-5	,	O	_	_	
2-6	strahlend	O	_	_	
2-7	von	O	_	_	
2-8	Tränen	B-NC	_	_	
2-9	und	O	_	_	
2-10	Lächeln	B-NC	Co-Hyponym	2-8	
2-11	,	O	_	_	
2-12	schön	O	_	_	
2-13	vor	O	_	_	
2-14	Zärtlichkeit	B-NC	_	_	
2-15	und	O	_	_	
2-16	Liebe	B-NC	_	_	
2-17	,	O	_	_	
2-18	in	O	_	_	
2-19	Philipps	B-NC	_	_	
2-20	Arme	B-NC	_	_	

#id=3
#text=Es war tief in der Nacht , als die Bürgerin Blaise ihrem Geliebten die Wohnungstür öffnete und ihm im Dunkeln zuflüsterte
3-1	Es	B-NC	_	_	
3-2	war	O	_	_	
3-3	tief	O	_	_	
3-4	in	O	_	_	
3-5	der	O	_	_	
3-6	Nacht	B-NC	_	_	
3-7	,	O	_	_	
3-8	als	O	_	_	
3-9	die	O	_	_	
3-10	Bürgerin	B-NC	_	_	
3-11	Blaise	B-NC	_	_	
3-12	ihrem	O	_	_	
3-13	Geliebten	B-NC	Co-Hyponym	3-10	
3-14	die	O	_	_	
3-15	Wohnungstür	B-NC	_	_	
3-16	öffnete	O	_	_	
3-17	und	O	_	_	
3-18	ihm	O	_	_	
3-19	im	O	_	_	
3-20	Dunkeln	B-NC	_	_	
3-21	zuflüsterte	O	_	_	

#id=4
#text=»Lebe wohl , Geliebter . . . Um diese Zeit kann mein Vater heimkehren . Hörst du Geräusch auf der Treppe , so steige rasch in den zweiten Stock hinauf und gehe erst wieder hinunter , wenn keine Gefahr mehr ist , daß er dich sieht . Klopfe dreimal ans Fenster der Portierloge , damit dir die Haustür geöffnet wird . Leb wohl , mein Leben ! Leb wohl , meine Seele !
4-1	»Lebe	O	_	_	
4-2	wohl	O	_	_	
4-3	,	O	_	_	
4-4	Geliebter	B-NC	_	_	
4-5	.	O	_	_	
4-6	.	O	_	_	
4-7	.	O	_	_	
4-8	Um	O	_	_	
4-9	diese	O	_	_	
4-10	Zeit	B-NC	_	_	
4-11	kann	O	_	_	
4-12	mein	O	_	_	
4-13	Vater	B-NC	_	_	
4-14	heimkehren	O	_	_	
4-15	.	O	_	_	
4-16	Hörst	O	_	_	
4-17	du	O	_	_	
4-18	Geräusch	B-NC	_	_	
4-19	auf	O	_	_	
4-20	der	O	_	_	
4-21	Treppe	B-NC	_	_	
4-22	,	O	_	_	
4-23	so	O	_	_	
4-24	steige	O	_	_	
4-25	rasch	O	_	_	
4-26	in	O	_	_	
4-27	den	O	_	_	
4-28	zweiten	O	_	_	
4-29	Stock	B-NC	_	_	
4-30	hinauf	O	_	_	
4-31	und	O	_	_	
4-32	gehe	O	_	_	
4-33	erst	O	_	_	
4-34	wieder	O	_	_	
4-35	hinunter	O	_	_	
4-36	,	O	_	_	
4-37	wenn	O	_	_	
4-38	keine	O	_	_	
4-39	Gefahr	B-NC	_	_	
4-40	mehr	O	_	_	
4-41	ist	O	_	_	
4-42	,	O	_	_	
4-43	daß	O	_	_	
4-44	er	O	_	_	
4-45	dich	O	_	_	
4-46	sieht	O	_	_	
4-47	.	O	_	_	
4-48	Klopfe	O	_	_	
4-49	dreimal	O	_	_	
4-50	ans	O	_	_	
4-51	Fenster	B-NC	Co-Hyponym|Holonym	4-21|4-53	
4-52	der	O	_	_	
4-53	Portierloge	B-NC	_	_	
4-54	,	O	_	_	
4-55	damit	O	_	_	
4-56	dir	O	_	_	
4-57	die	O	_	_	
4-58	Haustür	B-NC	Co-Hyponym	4-21	
4-59	geöffnet	O	_	_	
4-60	wird	O	_	_	
4-61	.	O	_	_	
4-62	Leb	O	_	_	
4-63	wohl	O	_	_	
4-64	,	O	_	_	
4-65	mein	O	_	_	
4-66	Leben	B-NC	_	_	
4-67	!	O	_	_	
4-68	Leb	O	_	_	
4-69	wohl	O	_	_	
4-70	,	O	_	_	
4-71	meine	O	_	_	
4-72	Seele	B-NC	_	_	
4-73	!	O	_	_	

#id=5
#text=Die letzten Scheite verglommen im Kamin . Elodies Kopf sank glücklich und müde ins Kissen
5-1	Die	O	_	_	
5-2	letzten	O	_	_	
5-3	Scheite	B-NC	_	_	
5-4	verglommen	O	_	_	
5-5	im	O	_	_	
5-6	Kamin	B-NC	_	_	
5-7	.	O	_	_	
5-8	Elodies	O	_	_	
5-9	Kopf	B-NC	_	_	
5-10	sank	O	_	_	
5-11	glücklich	O	_	_	
5-12	und	O	_	_	
5-13	müde	O	_	_	
5-14	ins	O	_	_	
5-15	Kissen	B-NC	_	_	

