 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Приблизительно 100 айсбергов движутся в сторону Новой Зеландии . Это достаточно опасно для судов , находящихся в этом районе . Эти движущиеся айсберги были обнаружены с самолёта военно-воздушных сил Новой Зеландии , на расстоянии около 260 км южнее южного острова Стюарта . Предполагают , что айсберги растают , не дойдя до Новой Зеландии . Но , с самого южного острова архипелага , айсберги видны
1-1	Приблизительно	O	_	_	
1-2	100	O	_	_	
1-3	айсбергов	B-NC	_	_	
1-4	движутся	O	_	_	
1-5	в	O	_	_	
1-6	сторону	B-NC	_	_	
1-7	Новой	O	_	_	
1-8	Зеландии	B-NC	_	_	
1-9	.	O	_	_	
1-10	Это	O	_	_	
1-11	достаточно	O	_	_	
1-12	опасно	O	_	_	
1-13	для	O	_	_	
1-14	судов	B-NC	_	_	
1-15	,	O	_	_	
1-16	находящихся	O	_	_	
1-17	в	O	_	_	
1-18	этом	O	_	_	
1-19	районе	B-NC	_	_	
1-20	.	O	_	_	
1-21	Эти	O	_	_	
1-22	движущиеся	O	_	_	
1-23	айсберги	B-NC	_	_	
1-24	были	O	_	_	
1-25	обнаружены	O	_	_	
1-26	с	O	_	_	
1-27	самолёта	B-NC	Co-Hyponym	1-14	
1-28	военно-воздушных	O	_	_	
1-29	сил	B-NC	_	_	
1-30	Новой	O	_	_	
1-31	Зеландии	B-NC	_	_	
1-32	,	O	_	_	
1-33	на	O	_	_	
1-34	расстоянии	B-NC	_	_	
1-35	около	O	_	_	
1-36	260	O	_	_	
1-37	км	B-NC	_	_	
1-38	южнее	O	_	_	
1-39	южного	O	_	_	
1-40	острова	B-NC	_	_	
1-41	Стюарта	B-NC	_	_	
1-42	.	O	_	_	
1-43	Предполагают	O	_	_	
1-44	,	O	_	_	
1-45	что	O	_	_	
1-46	айсберги	B-NC	_	_	
1-47	растают	O	_	_	
1-48	,	O	_	_	
1-49	не	O	_	_	
1-50	дойдя	O	_	_	
1-51	до	O	_	_	
1-52	Новой	O	_	_	
1-53	Зеландии	B-NC	_	_	
1-54	.	O	_	_	
1-55	Но	O	_	_	
1-56	,	O	_	_	
1-57	с	O	_	_	
1-58	самого	O	_	_	
1-59	южного	O	_	_	
1-60	острова	B-NC	Holonym	1-61	
1-61	архипелага	B-NC	_	_	
1-62	,	O	_	_	
1-63	айсберги	B-NC	_	_	
1-64	видны	O	_	_	

#id=2
#text=Размеры наибольшего из обнаруженных айсбергов составляют : длина — 2 км , ширина — 120 метров . Если учитывать , что большая часть айсберга скрыта под водой , можно предположить , что высота такого айсберга — 1,2 км
2-1	Размеры	B-NC	_	_	
2-2	наибольшего	O	_	_	
2-3	из	O	_	_	
2-4	обнаруженных	O	_	_	
2-5	айсбергов	B-NC	_	_	
2-6	составляют	O	_	_	
2-7	:	O	_	_	
2-8	длина	B-NC	Hypernym	2-1	
2-9	—	O	_	_	
2-10	2	O	_	_	
2-11	км	B-NC	_	_	
2-12	,	O	_	_	
2-13	ширина	B-NC	Hypernym	2-1	
2-14	—	O	_	_	
2-15	120	O	_	_	
2-16	метров	B-NC	_	_	
2-17	.	O	_	_	
2-18	Если	O	_	_	
2-19	учитывать	O	_	_	
2-20	,	O	_	_	
2-21	что	O	_	_	
2-22	большая	O	_	_	
2-23	часть	B-NC	_	_	
2-24	айсберга	B-NC	_	_	
2-25	скрыта	O	_	_	
2-26	под	O	_	_	
2-27	водой	B-NC	Holonym	2-24	
2-28	,	O	_	_	
2-29	можно	O	_	_	
2-30	предположить	O	_	_	
2-31	,	O	_	_	
2-32	что	O	_	_	
2-33	высота	B-NC	Hypernym	2-1	
2-34	такого	O	_	_	
2-35	айсберга	B-NC	_	_	
2-36	—	O	_	_	
2-37	1,2	O	_	_	
2-38	км	B-NC	_	_	

#id=3
#text=Это удивительно , что появилось одновременно столько много и так далеко на север продвинувшихся айсбергов
3-1	Это	O	_	_	
3-2	удивительно	O	_	_	
3-3	,	O	_	_	
3-4	что	O	_	_	
3-5	появилось	O	_	_	
3-6	одновременно	O	_	_	
3-7	столько	O	_	_	
3-8	много	O	_	_	
3-9	и	O	_	_	
3-10	так	O	_	_	
3-11	далеко	O	_	_	
3-12	на	O	_	_	
3-13	север	B-NC	_	_	
3-14	продвинувшихся	O	_	_	
3-15	айсбергов	B-NC	_	_	

#id=4
#text=Последний раз , видимый с островов Новой Зеландии , айсберг был обнаружен в 1931 году
4-1	Последний	O	_	_	
4-2	раз	B-NC	_	_	
4-3	,	O	_	_	
4-4	видимый	O	_	_	
4-5	с	O	_	_	
4-6	островов	B-NC	_	_	
4-7	Новой	O	_	_	
4-8	Зеландии	B-NC	_	_	
4-9	,	O	_	_	
4-10	айсберг	B-NC	_	_	
4-11	был	O	_	_	
4-12	обнаружен	O	_	_	
4-13	в	O	_	_	
4-14	1931	O	_	_	
4-15	году	B-NC	_	_	

#id=5
#text=Появление айсбергов не связано с глобальным потеплением , сказал океанограф Майк Уильямс ( Mike Williams ) из Национального исследовательского института океанов и атмосферы . Айсберг , который преодолевает огромное расстояние от Антарктиды да Новой Зеландии — фантастически редкое явление , но мы не находим связи между этим событием и изменением климата , добавил Майк Уильямс
5-1	Появление	B-NC	_	_	
5-2	айсбергов	B-NC	_	_	
5-3	не	O	_	_	
5-4	связано	O	_	_	
5-5	с	O	_	_	
5-6	глобальным	B-NC	Hypernym	5-50	
5-7	потеплением	I-NC|B-NC	_	_	
5-8	,	O	_	_	
5-9	сказал	O	_	_	
5-10	океанограф	B-NC	_	_	
5-11	Майк	B-NC	_	_	
5-12	Уильямс	B-NC	_	_	
5-13	(	O	_	_	
5-14	Mike	O	_	_	
5-15	Williams	O	_	_	
5-16	)	O	_	_	
5-17	из	O	_	_	
5-18	Национального	O	_	_	
5-19	исследовательского	O	_	_	
5-20	института	B-NC	_	_	
5-21	океанов	B-NC	_	_	
5-22	и	O	_	_	
5-23	атмосферы	B-NC	_	_	
5-24	.	O	_	_	
5-25	Айсберг	B-NC	_	_	
5-26	,	O	_	_	
5-27	который	O	_	_	
5-28	преодолевает	O	_	_	
5-29	огромное	O	_	_	
5-30	расстояние	B-NC	_	_	
5-31	от	O	_	_	
5-32	Антарктиды	B-NC	_	_	
5-33	да	O	_	_	
5-34	Новой	O	_	_	
5-35	Зеландии	B-NC	_	_	
5-36	—	O	_	_	
5-37	фантастически	O	_	_	
5-38	редкое	O	_	_	
5-39	явление	B-NC	_	_	
5-40	,	O	_	_	
5-41	но	O	_	_	
5-42	мы	O	_	_	
5-43	не	O	_	_	
5-44	находим	O	_	_	
5-45	связи	B-NC	_	_	
5-46	между	O	_	_	
5-47	этим	O	_	_	
5-48	событием	B-NC	Synonym	5-39	
5-49	и	O	_	_	
5-50	изменением	B-NC	_	_	
5-51	климата	B-NC	_	_	
5-52	,	O	_	_	
5-53	добавил	O	_	_	
5-54	Майк	B-NC	_	_	
5-55	Уильямс	B-NC	_	_	

