 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=– Ну , не реви же , чудак ! Я тебя завтра устрою , коли тебе некуда деваться
1-1	–	O	_	_	
1-2	Ну	O	_	_	
1-3	,	O	_	_	
1-4	не	O	_	_	
1-5	реви	O	_	_	
1-6	же	O	_	_	
1-7	,	O	_	_	
1-8	чудак	B-NC	_	_	
1-9	!	O	_	_	
1-10	Я	O	_	_	
1-11	тебя	O	_	_	
1-12	завтра	O	_	_	
1-13	устрою	O	_	_	
1-14	,	O	_	_	
1-15	коли	O	_	_	
1-16	тебе	O	_	_	
1-17	некуда	O	_	_	
1-18	деваться	O	_	_	

#id=2
#text=– как сквозь сон слышал я тихий убедительный шёпот
2-1	–	O	_	_	
2-2	как	O	_	_	
2-3	сквозь	O	_	_	
2-4	сон	B-NC	_	_	
2-5	слышал	O	_	_	
2-6	я	O	_	_	
2-7	тихий	O	_	_	
2-8	убедительный	O	_	_	
2-9	шёпот	B-NC	_	_	

#id=3
#text=…До рассвета мы лежали в объятиях друг друга
3-1	…До	O	_	_	
3-2	рассвета	B-NC	_	_	
3-3	мы	O	_	_	
3-4	лежали	O	_	_	
3-5	в	O	_	_	
3-6	объятиях	B-NC	_	_	
3-7	друг	O	_	_	
3-8	друга	O	_	_	

#id=4
#text=А когда рассвело , вылезли из-под лодки и пошли в город … Потом дружески простились и более не встречались никогда , хотя я с полгода разыскивал по всем трущобам эту милую Наташу , с которой провёл описанную мною ночь , однажды осенью
4-1	А	O	_	_	
4-2	когда	O	_	_	
4-3	рассвело	O	_	_	
4-4	,	O	_	_	
4-5	вылезли	O	_	_	
4-6	из-под	B-NC	_	_	
4-7	лодки	B-NC	_	_	
4-8	и	O	_	_	
4-9	пошли	O	_	_	
4-10	в	O	_	_	
4-11	город	B-NC	_	_	
4-12	…	O	_	_	
4-13	Потом	O	_	_	
4-14	дружески	O	_	_	
4-15	простились	O	_	_	
4-16	и	O	_	_	
4-17	более	O	_	_	
4-18	не	O	_	_	
4-19	встречались	O	_	_	
4-20	никогда	O	_	_	
4-21	,	O	_	_	
4-22	хотя	O	_	_	
4-23	я	O	_	_	
4-24	с	O	_	_	
4-25	полгода	O	_	_	
4-26	разыскивал	O	_	_	
4-27	по	O	_	_	
4-28	всем	O	_	_	
4-29	трущобам	B-NC	Holonym	4-11	
4-30	эту	O	_	_	
4-31	милую	B-NC	_	_	
4-32	Наташу	B-NC	_	_	
4-33	,	O	_	_	
4-34	с	O	_	_	
4-35	которой	O	_	_	
4-36	провёл	O	_	_	
4-37	описанную	O	_	_	
4-38	мною	O	_	_	
4-39	ночь	B-NC	_	_	
4-40	,	O	_	_	
4-41	однажды	O	_	_	
4-42	осенью	B-NC	_	_	

#id=5
#text=Если она уже умерла – как это хорошо для неё ! – в мире да почиет ! А если жива – мир душе её ! Да не проснётся в душе её сознание падения … ибо это было бы страданием излишним и бесплодным для жизни
5-1	Если	O	_	_	
5-2	она	O	_	_	
5-3	уже	O	_	_	
5-4	умерла	O	_	_	
5-5	–	O	_	_	
5-6	как	O	_	_	
5-7	это	O	_	_	
5-8	хорошо	O	_	_	
5-9	для	O	_	_	
5-10	неё	B-NC	_	_	
5-11	!	O	_	_	
5-12	–	O	_	_	
5-13	в	O	_	_	
5-14	мире	B-NC	_	_	
5-15	да	O	_	_	
5-16	почиет	O	_	_	
5-17	!	O	_	_	
5-18	А	O	_	_	
5-19	если	O	_	_	
5-20	жива	O	_	_	
5-21	–	O	_	_	
5-22	мир	B-NC	_	_	
5-23	душе	B-NC	_	_	
5-24	её	B-NC	_	_	
5-25	!	O	_	_	
5-26	Да	O	_	_	
5-27	не	O	_	_	
5-28	проснётся	O	_	_	
5-29	в	O	_	_	
5-30	душе	B-NC	_	_	
5-31	её	O	_	_	
5-32	сознание	B-NC	_	_	
5-33	падения	B-NC	_	_	
5-34	…	O	_	_	
5-35	ибо	O	_	_	
5-36	это	O	_	_	
5-37	было	O	_	_	
5-38	бы	O	_	_	
5-39	страданием	B-NC	Co-Hyponym	5-22	
5-40	излишним	O	_	_	
5-41	и	O	_	_	
5-42	бесплодным	O	_	_	
5-43	для	O	_	_	
5-44	жизни	B-NC	_	_	

