 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=About 100 icebergs are heading for New Zealand and a warning has been issued for ships in the Southern Ocean . The icebergs were spotted off the South Island of New Zealand by plane , Orion . However they are likely to melt before reaching New Zealand , but they may be visible from Stewart Island 
1-1	About	O	_	_	
1-2	100	O	_	_	
1-3	icebergs	B-NC	_	_	
1-4	are	O	_	_	
1-5	heading	O	_	_	
1-6	for	O	_	_	
1-7	New	B-NC	_	_	
1-8	Zealand	I-NC	_	_	
1-9	and	O	_	_	
1-10	a	O	_	_	
1-11	warning	B-NC	_	_	
1-12	has	O	_	_	
1-13	been	O	_	_	
1-14	issued	O	_	_	
1-15	for	O	_	_	
1-16	ships	B-NC	_	_	
1-17	in	O	_	_	
1-18	the	O	_	_	
1-19	Southern	B-NC	_	_	
1-20	Ocean	I-NC	_	_	
1-21	.	O	_	_	
1-22	The	O	_	_	
1-23	icebergs	B-NC	_	_	
1-24	were	O	_	_	
1-25	spotted	O	_	_	
1-26	off	O	_	_	
1-27	the	O	_	_	
1-28	South	B-NC	_	_	
1-29	Island	I-NC	_	_	
1-30	of	O	_	_	
1-31	New	B-NC	_	_	
1-32	Zealand	I-NC	_	_	
1-33	by	O	_	_	
1-34	plane	B-NC	Co-Hyponym	1-16	
1-35	,	O	_	_	
1-36	Orion	B-NC	_	_	
1-37	.	O	_	_	
1-38	However	O	_	_	
1-39	they	O	_	_	
1-40	are	O	_	_	
1-41	likely	O	_	_	
1-42	to	O	_	_	
1-43	melt	O	_	_	
1-44	before	O	_	_	
1-45	reaching	O	_	_	
1-46	New	B-NC	_	_	
1-47	Zealand	I-NC	_	_	
1-48	,	O	_	_	
1-49	but	O	_	_	
1-50	they	O	_	_	
1-51	may	O	_	_	
1-52	be	O	_	_	
1-53	visible	O	_	_	
1-54	from	O	_	_	
1-55	Stewart	B-NC	_	_	
1-56	Island	I-NC	_	_	

#id=2
#text=An Orion , a Royal New Zealand Air force plane , spotted the icebergs heading towards New Zealand when it was doing a routine fisheries patrol , south of the Auckland Islands , about 260 km away from Southland 
2-1	An	B-NC	_	_	
2-2	Orion	I-NC	_	_	
2-3	,	O	_	_	
2-4	a	O	_	_	
2-5	Royal	B-NC	_	_	
2-6	New	I-NC	_	_	
2-7	Zealand	I-NC	_	_	
2-8	Air	I-NC	_	_	
2-9	force	I-NC	_	_	
2-10	plane	I-NC	_	_	
2-11	,	O	_	_	
2-12	spotted	O	_	_	
2-13	the	O	_	_	
2-14	icebergs	B-NC	_	_	
2-15	heading	O	_	_	
2-16	towards	O	_	_	
2-17	New	B-NC	_	_	
2-18	Zealand	I-NC	_	_	
2-19	when	O	_	_	
2-20	it	O	_	_	
2-21	was	O	_	_	
2-22	doing	O	_	_	
2-23	a	O	_	_	
2-24	routine	O	_	_	
2-25	fisheries	B-NC	_	_	
2-26	patrol	I-NC	_	_	
2-27	,	O	_	_	
2-28	south	O	_	_	
2-29	of	O	_	_	
2-30	the	O	_	_	
2-31	Auckland	B-NC	_	_	
2-32	Islands	I-NC	_	_	
2-33	,	O	_	_	
2-34	about	O	_	_	
2-35	260	O	_	_	
2-36	km	O	_	_	
2-37	away	O	_	_	
2-38	from	O	_	_	
2-39	Southland	B-NC	_	_	

#id=3
#text=One of the longest of the hundred icebergs is said to be about 2 km long , 1.3 km wide and 120 m high . But seeing as most of the iceberg is underwater it is more likely around 1.2 km high 
3-1	One	B-NC	_	_	
3-2	of	O	_	_	
3-3	the	O	_	_	
3-4	longest	O	_	_	
3-5	of	O	_	_	
3-6	the	O	_	_	
3-7	hundred	O	_	_	
3-8	icebergs	B-NC	_	_	
3-9	is	O	_	_	
3-10	said	O	_	_	
3-11	to	O	_	_	
3-12	be	O	_	_	
3-13	about	O	_	_	
3-14	2	O	_	_	
3-15	km	O	_	_	
