 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Ein Catsuit ist ein einteiliges , eng anliegendes Kleidungsstück , das den Körper nahezu komplett umhüllt . Im Gegensatz zu einem Leotard ist ein Catsuit knöchellang und bedeckt die Beine , Zentais bedecken zusätzlich auch Kopf und Gesicht . Catsuits werden häufig zur Kostümierung oder Maskierung des Trägers genutzt , als Sportbekleidung eingesetzt oder finden bei Bluescreen - Aufnahmen in der Filmindustrie Verwendung . [ 1
1-1	Ein	O	_	_	
1-2	Catsuit	B-NC	Hypernym	1-9	
1-3	ist	O	_	_	
1-4	ein	O	_	_	
1-5	einteiliges	O	_	_	
1-6	,	O	_	_	
1-7	eng	O	_	_	
1-8	anliegendes	O	_	_	
1-9	Kleidungsstück	B-NC	_	_	
1-10	,	O	_	_	
1-11	das	O	_	_	
1-12	den	O	_	_	
1-13	Körper	B-NC	Holonym	1-48	
1-14	nahezu	O	_	_	
1-15	komplett	O	_	_	
1-16	umhüllt	O	_	_	
1-17	.	O	_	_	
1-18	Im	O	_	_	
1-19	Gegensatz	B-NC	_	_	
1-20	zu	O	_	_	
1-21	einem	O	_	_	
1-22	Leotard	B-NC	Hypernym	1-9	
1-23	ist	O	_	_	
1-24	ein	O	_	_	
1-25	Catsuit	B-NC	_	_	
1-26	knöchellang	O	_	_	
1-27	und	O	_	_	
1-28	bedeckt	O	_	_	
1-29	die	O	_	_	
1-30	Beine	B-NC	Holonym	1-13	
1-31	,	O	_	_	
1-32	Zentais	B-NC	Hypernym	1-9	
1-33	bedecken	O	_	_	
1-34	zusätzlich	O	_	_	
1-35	auch	O	_	_	
1-36	Kopf	B-NC	Holonym|Holonym	1-13|1-48	
1-37	und	O	_	_	
1-38	Gesicht	B-NC	Holonym|Holonym|Holonym	1-13|1-36|1-48	
1-39	.	O	_	_	
1-40	Catsuits	B-NC	Hypernym	1-52	
1-41	werden	O	_	_	
1-42	häufig	O	_	_	
1-43	zur	O	_	_	
1-44	Kostümierung	B-NC	_	_	
1-45	oder	O	_	_	
1-46	Maskierung	B-NC	Synonym	1-44	
1-47	des	O	_	_	
1-48	Trägers	B-NC	_	_	
1-49	genutzt	O	_	_	
1-50	,	O	_	_	
1-51	als	O	_	_	
1-52	Sportbekleidung	B-NC	Hypernym	1-9	
1-53	eingesetzt	O	_	_	
1-54	oder	O	_	_	
1-55	finden	O	_	_	
1-56	bei	O	_	_	
1-57	Bluescreen	B-NC|B-NC	Holonym	1-62	
1-58	-	I-NC	_	_	
1-59	Aufnahmen	I-NC|B-NC	_	_	
1-60	in	O	_	_	
1-61	der	O	_	_	
1-62	Filmindustrie	B-NC	_	_	
1-63	Verwendung	B-NC	_	_	
1-64	.	O	_	_	
1-65	[	O	_	_	
1-66	1	O	_	_	

