 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Niemand hätte in den letzten Jahren des XIX. Jahrhunderts daran geglaubt , dass die menschlichwn Angelegenheiten genau und scharf von Intelligenzen , größer als die des Menschen und doch so sterblich wie seine , beobachtet würden ; dass , während die Menschen ihrem Tagewerk nachgingen , sie belauscht und erforscht würden , fast ebenso eindringlich , wie ein Mann mit seinem Mikroskop jede vergänglichen Lebewesen erforscht , die in einem Wassertropfen ihr Wesen treiben und sich darin vermehren . Mit unendlichem Behagen schlenderte die Menschheit , mit ihren kleinen Sorgen beschäftigt , kreuz und quer auf dem Erdball umher , in gelassenem Vertrauen auf ihre Herrschaft über die Materie . Es ist möglich , dass die Infusorien unter der Lupe dasselbe thun . Niemand quälte sich mit dem Gedanken , dass älteren Weltkörpern Gefahren für die Menschheit entspringen könnten . Jede Vorstellung , dass sie bewohnt sein könnten , wurde als unwahrscheinlich oder unmöglich aufgegeben . Es ist seltsam , sich heute der geistigen Verfassung jener vergangenen Tage zu entsinnen . Es kam höchstens vor , dass Erdenbewohner sich einbildeten , es könnten Wesen auf dem Mars leben , minderwertige vielleicht , jedenfalls aber solche , die eine irdische Forschungsreife freudig begrüßen würden . Aber jenseits des gähnenden Weltraums blickten Geister , den unseren überlegen wie unsere denen reitzender Thiere , blickten Intellecte , ungeheuer und kalt und unheimlich , mit neidischen Augen auf unsere Erde . Bedächtig und sicher schmiedeten sie ihre Pläne gegen uns. Und am Beginne des XX . Jahren kam die große Ernüchterung
1-1	Niemand	O	_	_	
1-2	hätte	O	_	_	
1-3	in	O	_	_	
1-4	den	O	_	_	
1-5	letzten	O	_	_	
1-6	Jahren	B-NC	_	_	
1-7	des	O	_	_	
1-8	XIX.	B-NC	_	_	
1-9	Jahrhunderts	B-NC	_	_	
1-10	daran	O	_	_	
1-11	geglaubt	O	_	_	
1-12	,	O	_	_	
1-13	dass	O	_	_	
1-14	die	O	_	_	
1-15	menschlichwn	O	_	_	
1-16	Angelegenheiten	B-NC	_	_	
1-17	genau	O	_	_	
1-18	und	O	_	_	
1-19	scharf	O	_	_	
1-20	von	O	_	_	
1-21	Intelligenzen	B-NC	Holonym	1-27	
1-22	,	O	_	_	
1-23	größer	O	_	_	
1-24	als	O	_	_	
1-25	die	O	_	_	
1-26	des	O	_	_	
1-27	Menschen	B-NC	_	_	
1-28	und	O	_	_	
1-29	doch	O	_	_	
1-30	so	O	_	_	
1-31	sterblich	O	_	_	
1-32	wie	O	_	_	
1-33	seine	O	_	_	
1-34	,	O	_	_	
1-35	beobachtet	O	_	_	
1-36	würden	O	_	_	
1-37	;	O	_	_	
1-38	dass	O	_	_	
1-39	,	O	_	_	
1-40	während	O	_	_	
1-41	die	O	_	_	
1-42	Menschen	B-NC	Hypernym|Holonym	1-220|1-85	
1-43	ihrem	O	_	_	
1-44	Tagewerk	B-NC	_	_	
1-45	nachgingen	O	_	_	
1-46	,	O	_	_	
1-47	sie	O	_	_	
1-48	belauscht	O	_	_	
1-49	und	O	_	_	
1-50	erforscht	O	_	_	
1-51	würden	O	_	_	
1-52	,	O	_	_	
1-53	fast	O	_	_	
1-54	ebenso	O	_	_	
1-55	eindringlich	O	_	_	
1-56	,	O	_	_	
1-57	wie	O	_	_	
1-58	ein	O	_	_	
1-59	Mann	B-NC	Hypernym	1-42	
1-60	mit	O	_	_	
1-61	seinem	O	_	_	
1-62	Mikroskop	B-NC	_	_	
1-63	jede	O	_	_	
1-64	vergänglichen	O	_	_	
1-65	Lebewesen	B-NC	Hypernym	1-73	
1-66	erforscht	O	_	_	
1-67	,	O	_	_	
1-68	die	O	_	_	
1-69	in	O	_	_	
1-70	einem	O	_	_	
1-71	Wassertropfen	B-NC	Hypernym	1-109	
1-72	ihr	O	_	_	
1-73	Wesen	B-NC	_	_	
1-74	treiben	O	_	_	
1-75	und	O	_	_	
1-76	sich	O	_	_	
1-77	darin	O	_	_	
1-78	vermehren	O	_	_	
1-79	.	O	_	_	
1-80	Mit	O	_	_	
1-81	unendlichem	O	_	_	
1-82	Behagen	B-NC	_	_	
1-83	schlenderte	O	_	_	
1-84	die	O	_	_	
1-85	Menschheit	B-NC	_	_	
1-86	,	O	_	_	
1-87	mit	O	_	_	
1-88	ihren	O	_	_	
1-89	kleinen	O	_	_	
1-90	Sorgen	B-NC	_	_	
1-91	beschäftigt	O	_	_	
1-92	,	O	_	_	
1-93	kreuz	O	_	_	
1-94	und	O	_	_	
1-95	quer	O	_	_	
1-96	auf	O	_	_	
1-97	dem	O	_	_	
1-98	Erdball	B-NC	Holonym|Hypernym	1-209|1-133	
1-99	umher	O	_	_	
1-100	,	O	_	_	
1-101	in	O	_	_	
1-102	gelassenem	O	_	_	
1-103	Vertrauen	B-NC	_	_	
1-104	auf	O	_	_	
1-105	ihre	O	_	_	
1-106	Herrschaft	B-NC	_	_	
1-107	über	O	_	_	
1-108	die	O	_	_	
1-109	Materie	B-NC	_	_	
1-110	.	O	_	_	
1-111	Es	O	_	_	
1-112	ist	O	_	_	
1-113	möglich	O	_	_	
1-114	,	O	_	_	
1-115	dass	O	_	_	
1-116	die	O	_	_	
1-117	Infusorien	B-NC	Hypernym	1-65	
1-118	unter	O	_	_	
1-119	der	O	_	_	
1-120	Lupe	B-NC	Holonym	1-62	
1-121	dasselbe	O	_	_	
1-122	thun	B-NC	_	_	
1-123	.	O	_	_	
1-124	Niemand	O	_	_	
1-125	quälte	O	_	_	
1-126	sich	O	_	_	
1-127	mit	O	_	_	
1-128	dem	O	_	_	
1-129	Gedanken	B-NC	_	_	
1-130	,	O	_	_	
1-131	dass	O	_	_	
1-132	älteren	O	_	_	
1-133	Weltkörpern	B-NC	Holonym	1-209	
1-134	Gefahren	B-NC	_	_	
1-135	für	O	_	_	
1-136	die	O	_	_	
1-137	Menschheit	B-NC	_	_	
1-138	entspringen	O	_	_	
1-139	könnten	O	_	_	
1-140	.	O	_	_	
1-141	Jede	O	_	_	
1-142	Vorstellung	B-NC	_	_	
1-143	,	O	_	_	
1-144	dass	O	_	_	
1-145	sie	O	_	_	
1-146	bewohnt	O	_	_	
1-147	sein	O	_	_	
1-148	könnten	O	_	_	
1-149	,	O	_	_	
1-150	wurde	O	_	_	
1-151	als	O	_	_	
1-152	unwahrscheinlich	O	_	_	
1-153	oder	O	_	_	
1-154	unmöglich	O	_	_	
1-155	aufgegeben	O	_	_	
1-156	.	O	_	_	
1-157	Es	O	_	_	
1-158	ist	O	_	_	
1-159	seltsam	O	_	_	
1-160	,	O	_	_	
1-161	sich	O	_	_	
1-162	heute	O	_	_	
1-163	der	O	_	_	
1-164	geistigen	O	_	_	
1-165	Verfassung	B-NC	_	_	
1-166	jener	O	_	_	
1-167	vergangenen	O	_	_	
1-168	Tage	B-NC	_	_	
1-169	zu	O	_	_	
1-170	entsinnen	O	_	_	
1-171	.	O	_	_	
1-172	Es	O	_	_	
1-173	kam	O	_	_	
1-174	höchstens	O	_	_	
1-175	vor	O	_	_	
1-176	,	O	_	_	
1-177	dass	O	_	_	
1-178	Erdenbewohner	B-NC	Hypernym	1-65	
1-179	sich	O	_	_	
1-180	einbildeten	O	_	_	
1-181	,	O	_	_	
1-182	es	O	_	_	
1-183	könnten	O	_	_	
1-184	Wesen	B-NC	_	_	
1-185	auf	O	_	_	
1-186	dem	O	_	_	
1-187	Mars	B-NC	Hypernym	1-133	
1-188	leben	O	_	_	
1-189	,	O	_	_	
1-190	minderwertige	O	_	_	
1-191	vielleicht	O	_	_	
1-192	,	O	_	_	
1-193	jedenfalls	O	_	_	
1-194	aber	O	_	_	
1-195	solche	O	_	_	
1-196	,	O	_	_	
1-197	die	O	_	_	
1-198	eine	O	_	_	
1-199	irdische	O	_	_	
1-200	Forschungsreife	B-NC	_	_	
1-201	freudig	O	_	_	
1-202	begrüßen	O	_	_	
1-203	würden	O	_	_	
1-204	.	O	_	_	
1-205	Aber	O	_	_	
1-206	jenseits	O	_	_	
1-207	des	O	_	_	
1-208	gähnenden	O	_	_	
1-209	Weltraums	B-NC	_	_	
1-210	blickten	O	_	_	
1-211	Geister	B-NC	Synonym	1-21	
1-212	,	O	_	_	
1-213	den	O	_	_	
1-214	unseren	O	_	_	
1-215	überlegen	O	_	_	
1-216	wie	O	_	_	
1-217	unsere	O	_	_	
1-218	denen	O	_	_	
1-219	reitzender	O	_	_	
1-220	Thiere	B-NC	Hypernym	1-178	
1-221	,	O	_	_	
1-222	blickten	O	_	_	
1-223	Intellecte	B-NC	Synonym	1-21	
1-224	,	O	_	_	
1-225	ungeheuer	O	_	_	
1-226	und	O	_	_	
1-227	kalt	O	_	_	
1-228	und	O	_	_	
1-229	unheimlich	O	_	_	
1-230	,	O	_	_	
1-231	mit	O	_	_	
1-232	neidischen	O	_	_	
1-233	Augen	B-NC	_	_	
