 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Тетка прыгнула через барьер , потом через чье-то плечо , очутилась в ложе ; чтобы попасть в следующий ярус , нужно было перескочить высокую стену
1-1	Тетка	B-NC	_	_	
1-2	прыгнула	O	_	_	
1-3	через	O	_	_	
1-4	барьер	B-NC	_	_	
1-5	,	O	_	_	
1-6	потом	O	_	_	
1-7	через	O	_	_	
1-8	чье-то	O	_	_	
1-9	плечо	B-NC	_	_	
1-10	,	O	_	_	
1-11	очутилась	O	_	_	
1-12	в	O	_	_	
1-13	ложе	B-NC	_	_	
1-14	;	O	_	_	
1-15	чтобы	O	_	_	
1-16	попасть	O	_	_	
1-17	в	O	_	_	
1-18	следующий	O	_	_	
1-19	ярус	B-NC	Co-Hyponym	1-13	
1-20	,	O	_	_	
1-21	нужно	O	_	_	
1-22	было	O	_	_	
1-23	перескочить	O	_	_	
1-24	высокую	O	_	_	
1-25	стену	B-NC	Hypernym	1-4	

#id=2
#text=Тетка прыгнула , но не допрыгнула и поползла назад по стене . Затем она переходила с рук на руки , лизала чьи-то руки и лица , подвигалась все выше и выше и , наконец , попала на галерку
2-1	Тетка	B-NC	_	_	
2-2	прыгнула	O	_	_	
2-3	,	O	_	_	
2-4	но	O	_	_	
2-5	не	O	_	_	
2-6	допрыгнула	O	_	_	
2-7	и	O	_	_	
2-8	поползла	O	_	_	
2-9	назад	O	_	_	
2-10	по	O	_	_	
2-11	стене	B-NC	_	_	
2-12	.	O	_	_	
2-13	Затем	O	_	_	
2-14	она	O	_	_	
2-15	переходила	O	_	_	
2-16	с	O	_	_	
2-17	рук	B-NC	_	_	
2-18	на	O	_	_	
2-19	руки	B-NC	_	_	
2-20	,	O	_	_	
2-21	лизала	O	_	_	
2-22	чьи-то	B-NC	_	_	
2-23	руки	B-NC	_	_	
2-24	и	O	_	_	
2-25	лица	B-NC	Co-Hyponym	2-23	
2-26	,	O	_	_	
2-27	подвигалась	O	_	_	
2-28	все	O	_	_	
2-29	выше	O	_	_	
2-30	и	O	_	_	
2-31	выше	O	_	_	
2-32	и	O	_	_	
2-33	,	O	_	_	
2-34	наконец	O	_	_	
2-35	,	O	_	_	
2-36	попала	O	_	_	
2-37	на	O	_	_	
2-38	галерку	B-NC	_	_	

#id=3
#text=Спустя полчаса Каштанка шла уже по улице за людьми , от которых пахло клеем и лаком . Лука Александрыч покачивался и инстинктивно , наученный опытом , старался держаться подальше от канавы
3-1	Спустя	O	_	_	
3-2	полчаса	B-NC	_	_	
3-3	Каштанка	B-NC	_	_	
3-4	шла	O	_	_	
3-5	уже	O	_	_	
3-6	по	O	_	_	
3-7	улице	B-NC	_	_	
3-8	за	O	_	_	
3-9	людьми	B-NC	_	_	
3-10	,	O	_	_	
3-11	от	O	_	_	
3-12	которых	O	_	_	
3-13	пахло	O	_	_	
3-14	клеем	B-NC	_	_	
3-15	и	O	_	_	
3-16	лаком	B-NC	Co-Hyponym	3-14	
3-17	.	O	_	_	
3-18	Лука	B-NC	_	_	
3-19	Александрыч	B-NC	_	_	
3-20	покачивался	O	_	_	
3-21	и	O	_	_	
3-22	инстинктивно	O	_	_	
3-23	,	O	_	_	
3-24	наученный	O	_	_	
3-25	опытом	B-NC	_	_	
3-26	,	O	_	_	
3-27	старался	O	_	_	
3-28	держаться	O	_	_	
3-29	подальше	O	_	_	
3-30	от	O	_	_	
3-31	канавы	B-NC	_	_	

#id=4
#text=- В бездне греховней валяюся во утробе моей ... - бормотал он . - А ты , Каштанка , - недоумение . Супротив человека ты все равно , что плотник супротив столяра
4-1	-	O	_	_	
4-2	В	O	_	_	
4-3	бездне	B-NC	_	_	
4-4	греховней	O	_	_	
4-5	валяюся	B-NC	_	_	
4-6	во	O	_	_	
4-7	утробе	B-NC	_	_	
4-8	моей	O	_	_	
4-9	...	O	_	_	
4-10	-	O	_	_	
4-11	бормотал	O	_	_	
4-12	он	O	_	_	
4-13	.	O	_	_	
4-14	-	O	_	_	
4-15	А	O	_	_	
4-16	ты	O	_	_	
4-17	,	O	_	_	
4-18	Каштанка	B-NC	_	_	
4-19	,	O	_	_	
4-20	-	O	_	_	
4-21	недоумение	B-NC	_	_	
4-22	.	O	_	_	
4-23	Супротив	O	_	_	
4-24	человека	B-NC	_	_	
4-25	ты	O	_	_	
4-26	все	O	_	_	
4-27	равно	O	_	_	
4-28	,	O	_	_	
4-29	что	O	_	_	
4-30	плотник	B-NC	_	_	
4-31	супротив	O	_	_	
4-32	столяра	B-NC	Hypernym	4-24	

#id=5
#text=Рядом с ним шагал Федюшка в отцовском картузе . Каштанка глядела им обоим в спины , и ей казалось , что она давно уже идет за ними и радуется , что жизнь ее не обрывалась ни на минуту
5-1	Рядом	O	_	_	
5-2	с	O	_	_	
5-3	ним	O	_	_	
5-4	шагал	O	_	_	
5-5	Федюшка	B-NC	_	_	
5-6	в	O	_	_	
5-7	отцовском	O	_	_	
5-8	картузе	B-NC	_	_	
5-9	.	O	_	_	
5-10	Каштанка	B-NC	_	_	
5-11	глядела	O	_	_	
5-12	им	O	_	_	
5-13	обоим	O	_	_	
5-14	в	O	_	_	
5-15	спины	B-NC	_	_	
5-16	,	O	_	_	
5-17	и	O	_	_	
5-18	ей	O	_	_	
5-19	казалось	O	_	_	
5-20	,	O	_	_	
5-21	что	O	_	_	
5-22	она	O	_	_	
5-23	давно	O	_	_	
5-24	уже	O	_	_	
5-25	идет	O	_	_	
5-26	за	O	_	_	
5-27	ними	O	_	_	
5-28	и	O	_	_	
5-29	радуется	O	_	_	
5-30	,	O	_	_	
5-31	что	O	_	_	
