 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=»Nu , weine doch nicht mehr , du wunderlicher Mensch ! Ich versorge dich morgen , wenn du nicht weißt , wo du hinsollst . . . « hörte ich ihr leises , überredendes Flüstern wie im Traum . . . Bis zum Morgengrauen lagen wir so in gegenseitiger Umarmung . .
1-1	»Nu	B-NC	_	_	
1-2	,	O	_	_	
1-3	weine	O	_	_	
1-4	doch	O	_	_	
1-5	nicht	O	_	_	
1-6	mehr	O	_	_	
1-7	,	O	_	_	
1-8	du	O	_	_	
1-9	wunderlicher	O	_	_	
1-10	Mensch	B-NC	_	_	
1-11	!	O	_	_	
1-12	Ich	O	_	_	
1-13	versorge	O	_	_	
1-14	dich	O	_	_	
1-15	morgen	O	_	_	
1-16	,	O	_	_	
1-17	wenn	O	_	_	
1-18	du	O	_	_	
1-19	nicht	O	_	_	
1-20	weißt	O	_	_	
1-21	,	O	_	_	
1-22	wo	O	_	_	
1-23	du	O	_	_	
1-24	hinsollst	O	_	_	
1-25	.	O	_	_	
1-26	.	O	_	_	
1-27	.	O	_	_	
1-28	«	O	_	_	
1-29	hörte	O	_	_	
1-30	ich	O	_	_	
1-31	ihr	O	_	_	
1-32	leises	O	_	_	
1-33	,	O	_	_	
1-34	überredendes	O	_	_	
1-35	Flüstern	B-NC	_	_	
1-36	wie	O	_	_	
1-37	im	O	_	_	
1-38	Traum	B-NC	_	_	
1-39	.	O	_	_	
1-40	.	O	_	_	
1-41	.	O	_	_	
1-42	Bis	O	_	_	
1-43	zum	O	_	_	
1-44	Morgengrauen	B-NC	_	_	
1-45	lagen	O	_	_	
1-46	wir	O	_	_	
1-47	so	O	_	_	
1-48	in	O	_	_	
1-49	gegenseitiger	O	_	_	
1-50	Umarmung	B-NC	_	_	
1-51	.	O	_	_	
1-52	.	O	_	_	

#id=2
#text=Als es tagte , kletterten wir unter dem Boot hervor und gingen in die Stadt . . . Dann verabschiedeten wir uns freundschaftlich und sind uns nie mehr begegnet , obwohl ich ein halbes Jahr in allen Spelunken nach dieser lieben Natascha suchte , mit der ich die beschriebene Nacht einmal im Herbst verlebte . .
2-1	Als	O	_	_	
2-2	es	O	_	_	
2-3	tagte	O	_	_	
2-4	,	O	_	_	
2-5	kletterten	O	_	_	
2-6	wir	O	_	_	
2-7	unter	O	_	_	
2-8	dem	O	_	_	
2-9	Boot	B-NC	_	_	
2-10	hervor	O	_	_	
2-11	und	O	_	_	
2-12	gingen	O	_	_	
2-13	in	O	_	_	
2-14	die	O	_	_	
2-15	Stadt	B-NC	_	_	
2-16	.	O	_	_	
2-17	.	O	_	_	
2-18	.	O	_	_	
2-19	Dann	O	_	_	
2-20	verabschiedeten	O	_	_	
2-21	wir	O	_	_	
2-22	uns	O	_	_	
2-23	freundschaftlich	O	_	_	
2-24	und	O	_	_	
2-25	sind	O	_	_	
2-26	uns	O	_	_	
2-27	nie	O	_	_	
2-28	mehr	O	_	_	
2-29	begegnet	O	_	_	
2-30	,	O	_	_	
2-31	obwohl	O	_	_	
2-32	ich	O	_	_	
2-33	ein	O	_	_	
2-34	halbes	O	_	_	
2-35	Jahr	B-NC	_	_	
2-36	in	O	_	_	
2-37	allen	O	_	_	
2-38	Spelunken	B-NC	Holonym	2-15	
2-39	nach	O	_	_	
2-40	dieser	O	_	_	
2-41	lieben	O	_	_	
2-42	Natascha	B-NC	_	_	
2-43	suchte	O	_	_	
2-44	,	O	_	_	
2-45	mit	O	_	_	
2-46	der	O	_	_	
2-47	ich	O	_	_	
2-48	die	O	_	_	
2-49	beschriebene	O	_	_	
2-50	Nacht	B-NC	_	_	
2-51	einmal	O	_	_	
2-52	im	O	_	_	
2-53	Herbst	B-NC	Holonym	2-35	
2-54	verlebte	O	_	_	
2-55	.	O	_	_	
2-56	.	O	_	_	

#id=3
#text=Ist sie schon tot – wie gut für sie ! – Möge sie in Frieden ruhen ! Und lebt sie – Friede ihrer Seele ! Und möge in ihrer Seele nie das Bewußtsein ihres Falles erwachen . . . denn das wäre überflüssiges und fürs Leben fruchtloses Leiden
3-1	Ist	O	_	_	
3-2	sie	O	_	_	
3-3	schon	O	_	_	
3-4	tot	O	_	_	
3-5	–	O	_	_	
3-6	wie	O	_	_	
3-7	gut	O	_	_	
3-8	für	O	_	_	
3-9	sie	O	_	_	
3-10	!	O	_	_	
3-11	–	O	_	_	
3-12	Möge	O	_	_	
3-13	sie	O	_	_	
3-14	in	O	_	_	
3-15	Frieden	B-NC	_	_	
3-16	ruhen	O	_	_	
3-17	!	O	_	_	
3-18	Und	O	_	_	
3-19	lebt	O	_	_	
3-20	sie	O	_	_	
3-21	–	O	_	_	
3-22	Friede	B-NC	Synonym	3-15	
3-23	ihrer	O	_	_	
3-24	Seele	B-NC	_	_	
3-25	!	O	_	_	
3-26	Und	O	_	_	
3-27	möge	O	_	_	
3-28	in	O	_	_	
3-29	ihrer	O	_	_	
3-30	Seele	B-NC	_	_	
3-31	nie	O	_	_	
3-32	das	O	_	_	
3-33	Bewußtsein	B-NC	_	_	
3-34	ihres	O	_	_	
3-35	Falles	B-NC	_	_	
3-36	erwachen	O	_	_	
3-37	.	O	_	_	
3-38	.	O	_	_	
3-39	.	O	_	_	
3-40	denn	O	_	_	
3-41	das	O	_	_	
3-42	wäre	O	_	_	
3-43	überflüssiges	O	_	_	
3-44	und	O	_	_	
3-45	fürs	O	_	_	
3-46	Leben	B-NC	_	_	
3-47	fruchtloses	O	_	_	
3-48	Leiden	B-NC	Co-Hyponym	3-15	

