 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Жилет ( фр . gilet от порт . jaleco «пальто» ) , костюмный жилет — мужская или женская верхняя одежда без рукавов . В классическом варианте надевают под пиджак . Составная часть классического мужского костюма — «тройки»
1-1	Жилет	B-NC	_	_	
1-2	(	O	_	_	
1-3	фр	O	_	_	
1-4	.	O	_	_	
1-5	gilet	O	_	_	
1-6	от	O	_	_	
1-7	порт	B-NC	_	_	
1-8	.	O	_	_	
1-9	jaleco	O	_	_	
1-10	«пальто»	O	_	_	
1-11	)	O	_	_	
1-12	,	O	_	_	
1-13	костюмный	O	_	_	
1-14	жилет	B-NC	Holonym|Hypernym	1-35|1-20	
1-15	—	O	_	_	
1-16	мужская	O	_	_	
1-17	или	O	_	_	
1-18	женская	O	_	_	
1-19	верхняя	O	_	_	
1-20	одежда	B-NC	_	_	
1-21	без	O	_	_	
1-22	рукавов	B-NC	Holonym	1-29	
1-23	.	O	_	_	
1-24	В	O	_	_	
1-25	классическом	O	_	_	
1-26	варианте	B-NC	_	_	
1-27	надевают	O	_	_	
1-28	под	O	_	_	
1-29	пиджак	B-NC	Hypernym|Holonym	1-20|1-35	
1-30	.	O	_	_	
1-31	Составная	O	_	_	
1-32	часть	B-NC	_	_	
1-33	классического	O	_	_	
1-34	мужского	O	_	_	
1-35	костюма	B-NC	Hypernym	1-20	
1-36	—	O	_	_	
1-37	«тройки»	B-Text mistake	Hypernym	1-35	

