 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Стоя перед каминным зеркалом , она медленно сняла шляпу , затем взглянула с грустью на кольцо , которое носила на безыменном пальце левой руки , маленький серебряный перстенек со сплющенным , полустертым изображением Марата . Она смотрела на него , пока слезы не затуманили ей глаз , потом тихонько сняла его и кинула в огонь
1-1	Стоя	O	_	_	
1-2	перед	O	_	_	
1-3	каминным	O	_	_	
1-4	зеркалом	B-NC	_	_	
1-5	,	O	_	_	
1-6	она	O	_	_	
1-7	медленно	O	_	_	
1-8	сняла	O	_	_	
1-9	шляпу	B-NC	_	_	
1-10	,	O	_	_	
1-11	затем	O	_	_	
1-12	взглянула	O	_	_	
1-13	с	O	_	_	
1-14	грустью	B-NC	_	_	
1-15	на	O	_	_	
1-16	кольцо	B-NC	_	_	
1-17	,	O	_	_	
1-18	которое	O	_	_	
1-19	носила	O	_	_	
1-20	на	O	_	_	
1-21	безыменном	B-NC	Holonym	1-24	
1-22	пальце	I-NC|B-NC	_	_	
1-23	левой	O	_	_	
1-24	руки	B-NC	_	_	
1-25	,	O	_	_	
1-26	маленький	O	_	_	
1-27	серебряный	O	_	_	
1-28	перстенек	B-NC	Hypernym	1-16	
1-29	со	O	_	_	
1-30	сплющенным	O	_	_	
1-31	,	O	_	_	
1-32	полустертым	O	_	_	
1-33	изображением	B-NC	_	_	
1-34	Марата	B-NC	_	_	
1-35	.	O	_	_	
1-36	Она	O	_	_	
1-37	смотрела	O	_	_	
1-38	на	O	_	_	
1-39	него	O	_	_	
1-40	,	O	_	_	
1-41	пока	O	_	_	
1-42	слезы	B-NC	_	_	
1-43	не	O	_	_	
1-44	затуманили	O	_	_	
1-45	ей	O	_	_	
1-46	глаз	B-NC	Co-Hyponym	1-24	
1-47	,	O	_	_	
1-48	потом	O	_	_	
1-49	тихонько	O	_	_	
1-50	сняла	O	_	_	
1-51	его	O	_	_	
1-52	и	O	_	_	
1-53	кинула	O	_	_	
1-54	в	O	_	_	
1-55	огонь	B-NC	_	_	

#id=2
#text=И лишь после этого , улыбаясь сквозь слезы , похорошев от нежности и любви , она бросилась в объятия Филиппа
2-1	И	O	_	_	
2-2	лишь	O	_	_	
2-3	после	O	_	_	
2-4	этого	O	_	_	
2-5	,	O	_	_	
2-6	улыбаясь	O	_	_	
2-7	сквозь	O	_	_	
2-8	слезы	B-NC	_	_	
2-9	,	O	_	_	
2-10	похорошев	O	_	_	
2-11	от	O	_	_	
2-12	нежности	B-NC	_	_	
2-13	и	O	_	_	
2-14	любви	B-NC	_	_	
2-15	,	O	_	_	
2-16	она	O	_	_	
2-17	бросилась	O	_	_	
2-18	в	O	_	_	
2-19	объятия	B-NC	_	_	
2-20	Филиппа	B-NC	_	_	

#id=3
#text=Было уже далеко за полночь , когда гражданка Блез отперла своему любовнику дверь квартиры и шепнула ему в темноте
3-1	Было	O	_	_	
3-2	уже	O	_	_	
3-3	далеко	O	_	_	
3-4	за	O	_	_	
3-5	полночь	B-NC	_	_	
3-6	,	O	_	_	
3-7	когда	O	_	_	
3-8	гражданка	B-NC	_	_	
3-9	Блез	O	_	_	
3-10	отперла	O	_	_	
3-11	своему	O	_	_	
3-12	любовнику	B-NC	_	_	
3-13	дверь	B-NC	Holonym	3-14	
3-14	квартиры	B-NC	_	_	
3-15	и	O	_	_	
3-16	шепнула	O	_	_	
3-17	ему	O	_	_	
3-18	в	O	_	_	
3-19	темноте	B-NC	_	_	

#id=4
#text=– Прощай , любовь моя ! Сейчас должен вернуться отец . Если ты услышишь шаги на лестнице , быстро поднимись этажом выше и не спускайся , пока не убедишься , что всякая опасность миновала . Внизу постучи три раза в окно привратнице : она выпустит тебя на улицу . Прощай , жизнь моя ! Прощай , моя душа
4-1	–	O	_	_	
4-2	Прощай	O	_	_	
4-3	,	O	_	_	
4-4	любовь	B-NC	_	_	
4-5	моя	O	_	_	
4-6	!	O	_	_	
4-7	Сейчас	O	_	_	
4-8	должен	O	_	_	
4-9	вернуться	O	_	_	
4-10	отец	B-NC	_	_	
4-11	.	O	_	_	
4-12	Если	O	_	_	
4-13	ты	O	_	_	
4-14	услышишь	O	_	_	
4-15	шаги	B-NC	_	_	
4-16	на	O	_	_	
4-17	лестнице	B-NC	_	_	
4-18	,	O	_	_	
4-19	быстро	O	_	_	
4-20	поднимись	O	_	_	
4-21	этажом	B-NC	_	_	
4-22	выше	O	_	_	
4-23	и	O	_	_	
4-24	не	O	_	_	
4-25	спускайся	O	_	_	
4-26	,	O	_	_	
4-27	пока	O	_	_	
4-28	не	O	_	_	
4-29	убедишься	O	_	_	
4-30	,	O	_	_	
4-31	что	O	_	_	
4-32	всякая	O	_	_	
4-33	опасность	B-NC	_	_	
4-34	миновала	O	_	_	
4-35	.	O	_	_	
4-36	Внизу	O	_	_	
4-37	постучи	O	_	_	
4-38	три	O	_	_	
4-39	раза	B-NC	_	_	
4-40	в	O	_	_	
4-41	окно	B-NC	Co-Hyponym	4-17	
4-42	привратнице	B-NC	_	_	
4-43	:	O	_	_	
4-44	она	O	_	_	
4-45	выпустит	O	_	_	
4-46	тебя	O	_	_	
4-47	на	O	_	_	
4-48	улицу	B-NC	_	_	
4-49	.	O	_	_	
4-50	Прощай	O	_	_	
4-51	,	O	_	_	
4-52	жизнь	B-NC	_	_	
4-53	моя	O	_	_	
4-54	!	O	_	_	
4-55	Прощай	O	_	_	
4-56	,	O	_	_	
4-57	моя	O	_	_	
4-58	душа	B-NC	_	_	

#id=5
#text=Последние угли догорели в камине . Элоди , счастливая и усталая , бессильно опустила голову на подушку
5-1	Последние	O	_	_	
5-2	угли	B-NC	_	_	
5-3	догорели	O	_	_	
5-4	в	O	_	_	
5-5	камине	B-NC	_	_	
5-6	.	O	_	_	
5-7	Элоди	O	_	_	
5-8	,	O	_	_	
5-9	счастливая	O	_	_	
5-10	и	O	_	_	
5-11	усталая	O	_	_	
5-12	,	O	_	_	
5-13	бессильно	O	_	_	
5-14	опустила	O	_	_	
5-15	голову	B-NC	_	_	
5-16	на	O	_	_	
5-17	подушку	B-NC	_	_	

