 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Президент США Джордж Буш подписал закон о строительстве забора , длинной более 1000 км , на границе между США и Мексикой . Забор должен затруднить нелегальную иммиграцию из Мексики . При подписании закона , Буш сказал , что , к сожалению , за последние десятилетия США не смогли обеспечить полного контроля над границей . В последнее время нелегальная иммиграция из Мексики всё время увеличивалась , по некоторым оценкам , в настоящее время в США проживают 10 миллионов мексиканцев , из них четыре миллиона — нелегально . Мексика выступила с протестом против строительства забора
1-1	Президент	B-NC	_	_	
1-2	США	B-NC	_	_	
1-3	Джордж	B-NC	_	_	
1-4	Буш	B-NC	_	_	
1-5	подписал	O	_	_	
1-6	закон	B-NC	_	_	
1-7	о	O	_	_	
1-8	строительстве	B-NC	_	_	
1-9	забора	B-NC	Hypernym	1-17	
1-10	,	O	_	_	
1-11	длинной	O	_	_	
1-12	более	O	_	_	
1-13	1000	O	_	_	
1-14	км	B-NC	_	_	
1-15	,	O	_	_	
1-16	на	O	_	_	
1-17	границе	B-NC	_	_	
1-18	между	O	_	_	
1-19	США	B-NC	_	_	
1-20	и	O	_	_	
1-21	Мексикой	B-NC	_	_	
1-22	.	O	_	_	
1-23	Забор	B-NC	_	_	
1-24	должен	O	_	_	
1-25	затруднить	O	_	_	
1-26	нелегальную	O	_	_	
1-27	иммиграцию	B-NC	_	_	
1-28	из	O	_	_	
1-29	Мексики	B-NC	_	_	
1-30	.	O	_	_	
1-31	При	O	_	_	
1-32	подписании	B-NC	_	_	
1-33	закона	B-NC	_	_	
1-34	,	O	_	_	
1-35	Буш	B-NC	_	_	
1-36	сказал	O	_	_	
1-37	,	O	_	_	
1-38	что	O	_	_	
1-39	,	O	_	_	
1-40	к	O	_	_	
1-41	сожалению	B-NC	_	_	
1-42	,	O	_	_	
1-43	за	O	_	_	
1-44	последние	O	_	_	
1-45	десятилетия	B-NC	_	_	
1-46	США	B-NC	_	_	
1-47	не	O	_	_	
1-48	смогли	O	_	_	
1-49	обеспечить	O	_	_	
1-50	полного	O	_	_	
1-51	контроля	B-NC	_	_	
1-52	над	O	_	_	
1-53	границей	B-NC	_	_	
1-54	.	O	_	_	
1-55	В	O	_	_	
1-56	последнее	O	_	_	
1-57	время	B-NC	_	_	
1-58	нелегальная	O	_	_	
1-59	иммиграция	B-NC	_	_	
1-60	из	O	_	_	
1-61	Мексики	B-NC	_	_	
1-62	всё	B-NC	_	_	
1-63	время	B-NC	_	_	
1-64	увеличивалась	O	_	_	
1-65	,	O	_	_	
1-66	по	O	_	_	
1-67	некоторым	O	_	_	
1-68	оценкам	B-NC	_	_	
1-69	,	O	_	_	
1-70	в	O	_	_	
1-71	настоящее	O	_	_	
1-72	время	B-NC	_	_	
1-73	в	O	_	_	
1-74	США	B-NC	_	_	
1-75	проживают	O	_	_	
1-76	10	O	_	_	
1-77	миллионов	B-NC	_	_	
1-78	мексиканцев	B-NC	_	_	
1-79	,	O	_	_	
1-80	из	O	_	_	
1-81	них	O	_	_	
1-82	четыре	O	_	_	
1-83	миллиона	B-NC	_	_	
1-84	—	O	_	_	
1-85	нелегально	O	_	_	
1-86	.	O	_	_	
1-87	Мексика	B-NC	_	_	
1-88	выступила	O	_	_	
1-89	с	O	_	_	
1-90	протестом	B-NC	_	_	
1-91	против	O	_	_	
1-92	строительства	B-NC	_	_	
1-93	забора	B-NC	Hypernym	1-53	

#id=2
