 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=German weekly publication Der Spiegel yesterday accused the United States ' National Security Agency ( NSA ) of spying on the United Nations headquarters in New York . The magazine claims to have access to official NSA documents , provided by former NSA and CIA computer specialist and current fugitive Edward Snowden
1-1	German	O	_	_	
1-2	weekly	O	_	_	
1-3	publication	B-NC	Hypernym	1-38	
1-4	Der	B-NC	_	_	
1-5	Spiegel	B-NC	_	_	
1-6	yesterday	B-NC	_	_	
1-7	accused	O	_	_	
1-8	the	O	_	_	
1-9	United	B-NC	_	_	
1-10	States	B-NC	_	_	
1-11	'	O	_	_	
1-12	National	B-NC	_	_	
1-13	Security	B-NC	_	_	
1-14	Agency	B-NC	_	_	
1-15	(	O	_	_	
1-16	NSA	B-NC	_	_	
1-17	)	O	_	_	
1-18	of	O	_	_	
1-19	spying	O	_	_	
1-20	on	O	_	_	
1-21	the	O	_	_	
1-22	United	B-NC	_	_	
1-23	Nations	B-NC	_	_	
1-24	headquarters	B-NC	_	_	
1-25	in	O	_	_	
1-26	New	B-NC	_	_	
1-27	York	B-NC	_	_	
1-28	.	O	_	_	
1-29	The	O	_	_	
1-30	magazine	B-NC	Hypernym	1-3	
1-31	claims	O	_	_	
1-32	to	O	_	_	
1-33	have	O	_	_	
1-34	access	B-NC	_	_	
1-35	to	O	_	_	
1-36	official	O	_	_	
1-37	NSA	B-NC	_	_	
1-38	documents	B-NC	_	_	
1-39	,	O	_	_	
1-40	provided	O	_	_	
1-41	by	O	_	_	
1-42	former	O	_	_	
1-43	NSA	B-NC	_	_	
1-44	and	O	_	_	
1-45	CIA	B-NC	_	_	
1-46	computer	B-NC|B-NC	_	_	
1-47	specialist	I-NC|B-NC	_	_	
1-48	and	O	_	_	
1-49	current	O	_	_	
1-50	fugitive	B-NC	Co-Hyponym	1-46	
1-51	Edward	B-NC	_	_	
1-52	Snowden	B-NC	_	_	

#id=2
#text=If the allegations of bugging are confirmed , it would mean that the United States has breached International Treaties including the 1946 Convention on the Privileges and Immunities of the United Nations . The Treaty states that countries must not carry out covert operations that relate to the UN 's activities
2-1	If	O	_	_	
2-2	the	O	_	_	
2-3	allegations	B-NC	_	_	
2-4	of	O	_	_	
2-5	bugging	O	_	_	
2-6	are	O	_	_	
2-7	confirmed	O	_	_	
2-8	,	O	_	_	
2-9	it	O	_	_	
2-10	would	O	_	_	
2-11	mean	O	_	_	
2-12	that	O	_	_	
2-13	the	O	_	_	
2-14	United	B-NC	_	_	
2-15	States	B-NC	_	_	
2-16	has	O	_	_	
2-17	breached	O	_	_	
2-18	International	B-NC	_	_	
2-19	Treaties	B-NC	_	_	
2-20	including	O	_	_	
2-21	the	O	_	_	
2-22	1946	O	_	_	
2-23	Convention	B-NC	_	_	
2-24	on	O	_	_	
2-25	the	O	_	_	
2-26	Privileges	B-NC	_	_	
2-27	and	O	_	_	
2-28	Immunities	B-NC	_	_	
2-29	of	O	_	_	
2-30	the	O	_	_	
2-31	United	B-NC	_	_	
2-32	Nations	B-NC	_	_	
2-33	.	O	_	_	
2-34	The	O	_	_	
2-35	Treaty	B-NC	_	_	
2-36	states	O	_	_	
2-37	that	O	_	_	
2-38	countries	B-NC	_	_	
2-39	must	O	_	_	
2-40	not	O	_	_	
2-41	carry	O	_	_	
2-42	out	O	_	_	
2-43	covert	O	_	_	
2-44	operations	B-NC	Hypernym	2-51	
2-45	that	O	_	_	
2-46	relate	O	_	_	
2-47	to	O	_	_	
2-48	the	O	_	_	
2-49	UN	B-NC	_	_	
2-50	's	O	_	_	
2-51	activities	B-NC	_	_	

#id=3
#text=" The property and assets of the United Nations , wherever located and by whomsoever held , shall be immune from search , requisition , confiscation , expropriation and any other form of interference , whether by executive , administrative , judicial or legislative action " , the Convention stipulates
3-1	"	O	_	_	
3-2	The	O	_	_	
3-3	property	B-NC	_	_	
3-4	and	O	_	_	
3-5	assets	B-NC	Hypernym	3-3	
3-6	of	O	_	_	
3-7	the	O	_	_	
3-8	United	B-NC	_	_	
3-9	Nations	B-NC	_	_	
3-10	,	O	_	_	
3-11	wherever	O	_	_	
3-12	located	O	_	_	
3-13	and	O	_	_	
3-14	by	O	_	_	
3-15	whomsoever	O	_	_	
3-16	held	O	_	_	
3-17	,	O	_	_	
3-18	shall	O	_	_	
3-19	be	O	_	_	
3-20	immune	O	_	_	
3-21	from	O	_	_	
3-22	search	B-NC	Hypernym	3-34	
3-23	,	O	_	_	
3-24	requisition	B-NC	Hypernym	3-34	
3-25	,	O	_	_	
3-26	confiscation	B-NC	Hypernym	3-34	
3-27	,	O	_	_	
3-28	expropriation	B-NC	Hypernym	3-26	
3-29	and	O	_	_	
3-30	any	O	_	_	
3-31	other	O	_	_	
3-32	form	B-NC	_	_	
3-33	of	O	_	_	
3-34	interference	B-NC	Hypernym	3-45	
3-35	,	O	_	_	
3-36	whether	O	_	_	
3-37	by	O	_	_	
3-38	executive	O	_	_	
3-39	,	O	_	_	
3-40	administrative	O	_	_	
3-41	,	O	_	_	
3-42	judicial	O	_	_	
3-43	or	O	_	_	
3-44	legislative	O	_	_	
3-45	action	B-NC	_	_	
3-46	"	O	_	_	
3-47	,	O	_	_	
3-48	the	O	_	_	
3-49	Convention	B-NC	_	_	
3-50	stipulates	O	_	_	

#id=4
#text=The documents analysed by Der Spiegel indicate that the NSA runs bugging programs in more than 80 embassies and consulates across the globe , in what is reportedly called the " Special Collection Service "
4-1	The	O	_	_	
4-2	documents	B-NC	_	_	
4-3	analysed	O	_	_	
4-4	by	O	_	_	
4-5	Der	B-NC	_	_	
4-6	Spiegel	B-NC	_	_	
4-7	indicate	O	_	_	
4-8	that	O	_	_	
4-9	the	O	_	_	
4-10	NSA	B-NC	_	_	
4-11	runs	O	_	_	
4-12	bugging	O	_	_	
4-13	programs	B-NC	_	_	
4-14	in	O	_	_	
4-15	more	O	_	_	
4-16	than	O	_	_	
4-17	80	O	_	_	
4-18	embassies	B-NC	_	_	
4-19	and	O	_	_	
4-20	consulates	B-NC	Co-Hyponym	4-18	
4-21	across	O	_	_	
4-22	the	O	_	_	
4-23	globe	B-NC	_	_	
4-24	,	O	_	_	
4-25	in	O	_	_	
4-26	what	O	_	_	
4-27	is	O	_	_	
4-28	reportedly	O	_	_	
4-29	called	O	_	_	
4-30	the	O	_	_	
4-31	"	O	_	_	
4-32	Special	O	_	_	
4-33	Collection	B-NC	_	_	
4-34	Service	B-NC	_	_	
4-35	"	O	_	_	

#id=5
#text=Der Spiegel claimed that , according to their intelligence , the NSA was able to bug the UN headquarters by hacking into its video conferencing system in the summer of 2012 . Their article included quotes from the leaked documents like " “ The data traffic gives us internal video teleconferences of the United Nations ( yay ! ) "
5-1	Der	B-NC	_	_	
5-2	Spiegel	B-NC	_	_	
5-3	claimed	O	_	_	
5-4	that	O	_	_	
5-5	,	O	_	_	
5-6	according	O	_	_	
5-7	to	O	_	_	
5-8	their	O	_	_	
5-9	intelligence	B-NC	_	_	
5-10	,	O	_	_	
5-11	the	O	_	_	
5-12	NSA	B-NC	_	_	
5-13	was	O	_	_	
5-14	able	O	_	_	
5-15	to	O	_	_	
5-16	bug	O	_	_	
5-17	the	O	_	_	
5-18	UN	B-NC	_	_	
5-19	headquarters	B-NC	_	_	
5-20	by	O	_	_	
5-21	hacking	O	_	_	
5-22	into	O	_	_	
5-23	its	O	_	_	
5-24	video	B-NC	_	_	
5-25	conferencing	I-NC	_	_	
5-26	system	I-NC|B-NC	_	_	
5-27	in	O	_	_	
5-28	the	O	_	_	
5-29	summer	B-NC	_	_	
5-30	of	O	_	_	
5-31	2012	O	_	_	
5-32	.	O	_	_	
5-33	Their	O	_	_	
5-34	article	B-NC	Hypernym	5-40	
5-35	included	O	_	_	
5-36	quotes	B-NC	Holonym	5-34	
5-37	from	O	_	_	
5-38	the	O	_	_	
5-39	leaked	O	_	_	
5-40	documents	B-NC	_	_	
5-41	like	O	_	_	
5-42	"	O	_	_	
5-43	“	B-NC	_	_	
5-44	The	O	_	_	
5-45	data	B-NC|B-NC	_	_	
5-46	traffic	I-NC|B-NC	_	_	
5-47	gives	O	_	_	
5-48	us	O	_	_	
5-49	internal	O	_	_	
5-50	video	B-NC	Hypernym	5-45	
5-51	teleconferences	I-NC|B-NC	_	_	
5-52	of	O	_	_	
5-53	the	O	_	_	
5-54	United	B-NC	_	_	
5-55	Nations	B-NC	_	_	
5-56	(	O	_	_	
5-57	yay	B-NC	_	_	
5-58	!	O	_	_	
5-59	)	O	_	_	
5-60	"	O	_	_	

#id=6
#text=Allegedly , decoded UN communications rose from 12 to 458 within three weeks of the NSA gaining access . Analysed documents also indicated the NSA found evidence Chinese spies were also monitoring the UN , and began logging what the Chinese were accessing
6-1	Allegedly	B-NC	_	_	
6-2	,	O	_	_	
6-3	decoded	O	_	_	
6-4	UN	B-NC	_	_	
6-5	communications	B-NC	Hypernym	6-21	
6-6	rose	O	_	_	
6-7	from	O	_	_	
6-8	12	O	_	_	
6-9	to	O	_	_	
6-10	458	O	_	_	
6-11	within	O	_	_	
6-12	three	O	_	_	
6-13	weeks	B-NC	_	_	
6-14	of	O	_	_	
6-15	the	O	_	_	
6-16	NSA	B-NC	_	_	
6-17	gaining	O	_	_	
6-18	access	B-NC	_	_	
6-19	.	O	_	_	
6-20	Analysed	O	_	_	
6-21	documents	B-NC	_	_	
6-22	also	O	_	_	
6-23	indicated	O	_	_	
6-24	the	O	_	_	
6-25	NSA	B-NC	_	_	
6-26	found	O	_	_	
6-27	evidence	B-NC	Hypernym	6-21	
6-28	Chinese	O	_	_	
6-29	spies	B-NC	_	_	
6-30	were	O	_	_	
6-31	also	O	_	_	
6-32	monitoring	O	_	_	
6-33	the	O	_	_	
6-34	UN	B-NC	_	_	
6-35	,	O	_	_	
6-36	and	O	_	_	
6-37	began	O	_	_	
6-38	logging	O	_	_	
6-39	what	O	_	_	
6-40	the	O	_	_	
6-41	Chinese	O	_	_	
6-42	were	O	_	_	
6-43	accessing	O	_	_	

#id=7
#text=The UN 's nuclear watchdog in Vienna , the International Atomic Energy Agency , and the European Union are said to be among the organisations NSA spies have been targeting . The US government has previously denied any wrongdoing by the NSA , although President Barack Obama this month announced plans to curb government spying activities
7-1	The	B-NC	_	_	
7-2	UN	B-NC	_	_	
7-3	's	O	_	_	
7-4	nuclear	O	_	_	
7-5	watchdog	B-NC	_	_	
7-6	in	O	_	_	
7-7	Vienna	B-NC	_	_	
7-8	,	O	_	_	
7-9	the	O	_	_	
