 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Slowly she uncoiled her hair before the chimney-glass ; then she looked mournfully at the ring she wore on the ring-finger of her left hand , a little silver ring on which the face of Marat , all worn and battered , could no longer be made out . She looked at it till the tears confused her sight , took it off softly and tossed it into the flames . Then , her face shining with tears and smiles , transfigured with tenderness and passion , she threw herself into Philippe 's arms . The night was far advanced when the _citoyenne_ Blaise opened the outer door of the flat for her lover and whispered to him in the darkness : " Good-bye , sweetheart ! It is the hour my father will be coming home . If you hear a noise on the stairs , go up quick to the higher floor and do n't come down till all danger is over of your being seen . To have the street-door opened , give three raps on the _concierge's_ window . Good-bye , my life , good-bye , my soul ! " The last dying embers were glowing on the hearth when Élodie , tired and happy , dropped her head on the pillow
1-1	Slowly	O	_	_	
1-2	she	O	_	_	
1-3	uncoiled	O	_	_	
1-4	her	O	_	_	
1-5	hair	B-NC	_	_	
1-6	before	O	_	_	
1-7	the	O	_	_	
1-8	chimney-glass	B-NC	_	_	
1-9	;	O	_	_	
1-10	then	O	_	_	
1-11	she	O	_	_	
1-12	looked	O	_	_	
1-13	mournfully	O	_	_	
1-14	at	O	_	_	
1-15	the	O	_	_	
1-16	ring	B-NC	_	_	
1-17	she	O	_	_	
1-18	wore	O	_	_	
1-19	on	O	_	_	
1-20	the	O	_	_	
1-21	ring-finger	B-NC	Holonym	1-25	
1-22	of	O	_	_	
1-23	her	O	_	_	
1-24	left	O	_	_	
1-25	hand	B-NC	Co-Hyponym	1-5	
1-26	,	O	_	_	
1-27	a	O	_	_	
1-28	little	O	_	_	
1-29	silver	B-NC|B-NC	Hypernym	1-16	
1-30	ring	I-NC|B-NC	_	_	
1-31	on	O	_	_	
1-32	which	O	_	_	
1-33	the	O	_	_	
1-34	face	B-NC	Co-Hyponym	1-5	
1-35	of	O	_	_	
1-36	Marat	B-NC	_	_	
1-37	,	O	_	_	
1-38	all	O	_	_	
1-39	worn	O	_	_	
1-40	and	O	_	_	
1-41	battered	O	_	_	
1-42	,	O	_	_	
1-43	could	O	_	_	
1-44	no	O	_	_	
1-45	longer	O	_	_	
1-46	be	O	_	_	
1-47	made	O	_	_	
1-48	out	O	_	_	
1-49	.	O	_	_	
1-50	She	O	_	_	
1-51	looked	O	_	_	
1-52	at	O	_	_	
1-53	it	O	_	_	
1-54	till	O	_	_	
1-55	the	O	_	_	
1-56	tears	B-NC	_	_	
1-57	confused	O	_	_	
1-58	her	O	_	_	
1-59	sight	B-NC	_	_	
1-60	,	O	_	_	
1-61	took	O	_	_	
1-62	it	O	_	_	
1-63	off	O	_	_	
1-64	softly	O	_	_	
1-65	and	O	_	_	
1-66	tossed	O	_	_	
1-67	it	O	_	_	
1-68	into	O	_	_	
1-69	the	O	_	_	
1-70	flames	B-NC	_	_	
1-71	.	O	_	_	
1-72	Then	O	_	_	
1-73	,	O	_	_	
1-74	her	O	_	_	
1-75	face	O	_	_	
1-76	shining	O	_	_	
1-77	with	O	_	_	
1-78	tears	B-NC	_	_	
1-79	and	O	_	_	
1-80	smiles	B-NC	_	_	
1-81	,	O	_	_	
1-82	transfigured	O	_	_	
1-83	with	O	_	_	
1-84	tenderness	B-NC	_	_	
1-85	and	O	_	_	
1-86	passion	B-NC	_	_	
1-87	,	O	_	_	
1-88	she	O	_	_	
1-89	threw	O	_	_	
1-90	herself	O	_	_	
1-91	into	O	_	_	
1-92	Philippe	B-NC	_	_	
1-93	's	O	_	_	
1-94	arms	B-NC	Co-Hyponym	1-5	
1-95	.	O	_	_	
1-96	The	O	_	_	
1-97	night	B-NC	_	_	
1-98	was	O	_	_	
1-99	far	O	_	_	
1-100	advanced	O	_	_	
1-101	when	O	_	_	
1-102	the	O	_	_	
1-103	_citoyenne_	B-Text mistake	_	_	
1-104	Blaise	B-NC	_	_	
1-105	opened	O	_	_	
1-106	the	O	_	_	
1-107	outer	O	_	_	
1-108	door	B-NC	_	_	
1-109	of	O	_	_	
1-110	the	O	_	_	
1-111	flat	O	_	_	
1-112	for	O	_	_	
1-113	her	O	_	_	
1-114	lover	B-NC	Co-Hyponym	1-103	
1-115	and	O	_	_	
1-116	whispered	O	_	_	
1-117	to	O	_	_	
1-118	him	O	_	_	
1-119	in	O	_	_	
1-120	the	O	_	_	
1-121	darkness	B-NC	_	_	
1-122	:	O	_	_	
