 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Eyes are the organs of vision . They detect light and convert it into electro - chemical impulses in neurons . The simplest photoreceptor cells in conscious vision connect light to movement . In higher organisms the eye is a complex optical system which collects light from the surrounding environment , regulates its intensity through a diaphragm , focuses it through an adjustable assembly of lenses to form an image , converts this image into a set of electrical signals , and transmits these signals to the brain through complex neural pathways that connect the eye via the optic nerve to the visual cortex and other areas of the brain . Eyes with resolving power have come in ten fundamentally different forms , and 96 % of animal species possess a complex optical system . [ 1 ] Image - resolving eyes are present in molluscs , chordates and arthropods . [ 2
1-1	Eyes	B-NC	Hypernym|Hypernym	1-4|1-4	
1-2	are	O	_	_	
1-3	the	O	_	_	
1-4	organs	B-NC	_	_	
1-5	of	O	_	_	
1-6	vision	B-NC	_	_	
1-7	.	O	_	_	
1-8	They	O	_	_	
1-9	detect	O	_	_	
1-10	light	B-NC	_	_	
1-11	and	O	_	_	
1-12	convert	O	_	_	
1-13	it	O	_	_	
1-14	into	O	_	_	
1-15	electro	B-NC	_	_	
1-16	-	O	_	_	
1-17	chemical	O	_	_	
1-18	impulses	B-NC	Holonym	1-88	
1-19	in	O	_	_	
1-20	neurons	B-NC	Holonym	1-1	
1-21	.	O	_	_	
1-22	The	O	_	_	
1-23	simplest	O	_	_	
1-24	photoreceptor	B-NC|B-NC	Holonym	1-1	
1-25	cells	I-NC|B-NC	_	_	
1-26	in	O	_	_	
1-27	conscious	O	_	_	
1-28	vision	B-NC	_	_	
1-29	connect	O	_	_	
1-30	light	B-NC	_	_	
1-31	to	O	_	_	
1-32	movement	B-NC	_	_	
1-33	.	O	_	_	
1-34	In	O	_	_	
1-35	higher	O	_	_	
1-36	organisms	B-NC	Holonym	1-129	
1-37	the	O	_	_	
1-38	eye	B-NC	Holonym|Hypernym	1-36|1-42	
1-39	is	O	_	_	
1-40	a	O	_	_	
1-41	complex	O	_	_	
1-42	optical	B-NC	Holonym	1-88	
1-43	system	I-NC|B-NC	_	_	
1-44	which	O	_	_	
1-45	collects	O	_	_	
1-46	light	B-NC	_	_	
1-47	from	O	_	_	
1-48	the	O	_	_	
1-49	surrounding	O	_	_	
1-50	environment	B-NC	_	_	
1-51	,	O	_	_	
1-52	regulates	O	_	_	
1-53	its	O	_	_	
1-54	intensity	B-NC	_	_	
