 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Gegen sieben Uhr an einem recht schwülen Sommerabend in den Sionibergen erwachte Vater Wolf , gähnte , reckte sich und streckte die Läufe , einen nach dem anderen , um das Schlafgefühl in den Pfoten loszuwerden . Neben ihm lag Mutter Wolf , die lange graue Nase quer über den vier winselnden und quarrenden Jungen , und von draußen her schien der Mond in die Höhle , in der sie alle hausten
1-1	Gegen	O	_	_	
1-2	sieben	O	_	_	
1-3	Uhr	B-NC	_	_	
1-4	an	O	_	_	
1-5	einem	O	_	_	
1-6	recht	O	_	_	
1-7	schwülen	O	_	_	
1-8	Sommerabend	B-NC	_	_	
1-9	in	O	_	_	
1-10	den	O	_	_	
1-11	Sionibergen	B-NC	_	_	
1-12	erwachte	O	_	_	
1-13	Vater	B-NC	_	_	
1-14	Wolf	B-NC	_	_	
1-15	,	O	_	_	
1-16	gähnte	O	_	_	
1-17	,	O	_	_	
1-18	reckte	O	_	_	
1-19	sich	O	_	_	
1-20	und	O	_	_	
1-21	streckte	O	_	_	
1-22	die	O	_	_	
1-23	Läufe	B-NC	Holonym	1-14	
1-24	,	O	_	_	
1-25	einen	O	_	_	
1-26	nach	O	_	_	
1-27	dem	O	_	_	
1-28	anderen	O	_	_	
1-29	,	O	_	_	
1-30	um	O	_	_	
1-31	das	O	_	_	
1-32	Schlafgefühl	B-NC	_	_	
1-33	in	O	_	_	
1-34	den	O	_	_	
1-35	Pfoten	B-NC	Holonym	1-14	
1-36	loszuwerden	O	_	_	
1-37	.	O	_	_	
1-38	Neben	O	_	_	
1-39	ihm	O	_	_	
1-40	lag	O	_	_	
1-41	Mutter	B-NC	Co-Hyponym	1-13	
1-42	Wolf	B-NC	_	_	
1-43	,	O	_	_	
1-44	die	O	_	_	
1-45	lange	O	_	_	
1-46	graue	O	_	_	
1-47	Nase	B-NC	Holonym	1-42	
1-48	quer	O	_	_	
1-49	über	O	_	_	
1-50	den	O	_	_	
1-51	vier	O	_	_	
1-52	winselnden	O	_	_	
1-53	und	O	_	_	
1-54	quarrenden	O	_	_	
1-55	Jungen	B-NC	Co-Hyponym	1-13	
1-56	,	O	_	_	
1-57	und	O	_	_	
1-58	von	O	_	_	
1-59	draußen	O	_	_	
1-60	her	O	_	_	
1-61	schien	O	_	_	
1-62	der	O	_	_	
1-63	Mond	B-NC	_	_	
1-64	in	O	_	_	
1-65	die	O	_	_	
1-66	Höhle	B-NC	_	_	
1-67	,	O	_	_	
1-68	in	O	_	_	
1-69	der	O	_	_	
1-70	sie	O	_	_	
1-71	alle	O	_	_	
1-72	hausten	O	_	_	

#id=2
